"rep","bee","first","prop","trips"
"1C",60,255332.635946035,0.00403439855610999,30
"1C",47,4.46001410484314,0.509532515016976,1
"1C",19,244007.946907043,0.00950279993212289,42
"1C",35,1.12666797637939,0.82805934310951,2
"1C",12,254572.467782021,0.420583648919581,1
"1C",14,52305.8983359337,0.748819755477545,10
"1C",70,417127.122194052,0.0444953378046786,2
"1C",41,7.95999908447266,0.573547215496368,3
"1C",75,240322.273089886,0.0586581709145426,64
"1C",40,2.9600989818573,1,0
"1C",2,523549.510731936,0.0085197018104366,2
"1C",46,61573.0835568905,0.013395739186572,16
"1C",77,3659.63421702385,0.98685111628544,3
"1C",34,250366.626221895,0.055450137044065,170
"1C",68,58188.7433969975,0.0777873811581677,152
"1C",27,69930.1006639004,0.778082480750976,9
"1C",57,NA,0,0
"1C",65,45878.2184870243,0.908429503261415,2
"1C",71,23.2934119701385,1,0
"1C",49,1522.96316003799,0.760073779795687,3
"1C",20,27.1267230510712,0.600423579244617,1
"1C",32,176066.313800097,0.17427840701498,16
"1C",63,251957.795970917,0.0475307210758174,72
"1C",79,48317.8902890682,0.89157196969697,3
"1C",61,35.1267321109772,0.879028545119705,1
"1C",42,175897.813499928,0.0407943017483272,110
"1C",62,NA,0,0
"1C",64,61422.5832850933,0.0266422615415904,16
"1C",37,173932.476264,0.0637817170663886,13
"1C",15,1654.79683089256,0.670614777213762,248
"1C",54,167823.297653913,0.133694181326116,2
"1C",26,184787.164622068,0.108062538320049,630
"1C",44,251052.794250011,0.0470885011561908,100
"1C",1,336193.794739008,0.0325895478567235,32
"1C",59,170550.969374895,0.0677427243824895,78
"1C",81,61709.0838088989,0.0527893422148209,74
"1C",18,113.127262115479,1,0
"1C",38,75.2935020923615,0.128916527146616,11
"1C",16,165100.791949987,0.0451723399700279,64
"1C",50,428101.310954094,0.0438121047877145,6
"1C",8,255841.136918068,0.0212970069071374,42
"1C",73,158130.611313105,0.773931725948914,1
"1C",80,352526.993427038,0.0263157894736843,14
"1C",72,335703.793469906,0.00139437601673253,6
"1C",53,136591.234721899,0.748741054863504,1
"1C",17,414605.450429916,0.0340145200322668,6
"1C",74,375422.704889059,0.211773940345369,17
"1C",11,248893.62322998,0.237721462211258,63
"1C",23,98771.3258879185,0.0226176617329121,84
"1C",9,266075.157205105,0.0448893572181244,58
"1C",66,55518.5713880062,0.209367945823928,18
