,Treatment,C18:1,C23:1,C23,C24,C25:1,C25,C27:1,C27,"11,13 methyl C27",C28,C29:1,C29,"11,13 methyl C29",z(7) C31:1,z(9) C31:1,C31,C33:2,C33:1,C33,sum
GF_A_001,Live,1762.05,525.78,4400.83,237.27,1101.16,8563.07,1249.52,12789.48,332.48,324.89,1919.22,7777.97,608.61,4932.30,5005.02,6384.39,2105.05,16339.12,1236.27,77594.51
GF_A_002,Live,1401.25,1400.40,7783.41,349.01,2405.80,10656.88,2074.44,13153.23,334.67,395.03,2729.82,8110.87,814.57,4050.41,3266.95,3747.10,1252.61,7087.14,549.53,71563.13
GF_A_003,Live,0.00,565.74,7010.73,367.49,1428.01,16070.88,1774.54,20207.50,207.12,299.71,2242.45,4210.20,643.90,2007.01,1572.32,1985.09,698.22,4532.16,278.10,66101.18
GF_A_004,Live,1315.38,2276.29,10534.88,492.27,3225.84,15733.62,3116.90,20059.14,473.86,580.57,4248.81,11817.98,633.97,5872.02,5226.56,8242.31,1936.53,15646.32,1360.65,112793.90
GF_A_005,Live,0.00,670.71,5256.12,282.15,1503.10,9152.10,1538.76,14598.20,244.97,580.52,2558.64,15251.21,719.04,4463.86,3690.76,7240.78,1346.98,6514.16,642.08,76254.16
GF_A_006,Live,0.00,466.06,9897.54,593.83,1517.06,30252.52,2029.65,31021.14,231.15,363.46,2336.60,4256.38,565.31,1752.27,1533.31,1657.05,624.78,3676.74,205.72,92980.59
GF_A_007,Live,245.60,1203.69,13152.22,531.93,2396.58,18310.96,3022.06,23706.32,387.67,433.45,5358.34,6022.34,1082.90,3147.63,2415.77,2087.35,850.95,5747.45,256.03,90359.24
GF_A_008,Live,0.00,643.47,6218.05,336.27,1480.21,10925.24,1723.97,18451.43,329.56,399.33,2633.25,9212.36,726.90,4101.36,2970.64,4194.44,967.65,7546.34,518.43,73378.89
GF_B_001,Live,0.00,368.62,4470.83,315.75,1172.84,15666.37,1468.70,15635.51,358.71,352.35,2072.39,7401.31,756.51,3794.52,3446.19,4100.05,1763.95,7819.54,563.98,71528.14
GF_B_002,Live,0.00,321.16,8481.96,591.34,1601.14,32109.89,1921.83,27328.20,200.06,322.62,2304.22,4745.69,603.77,1760.32,1607.38,2340.92,867.41,3931.32,290.92,91330.15
GF_B_003,Live,6150.17,1777.41,12060.36,621.31,2548.60,21122.41,1900.25,15331.98,328.15,342.22,1316.45,6998.29,746.62,3063.84,2688.08,3559.64,1338.64,6311.85,446.44,88652.70
GF_B_004,Live,0.00,444.48,10497.13,616.92,1419.98,31998.48,1949.24,24145.97,271.26,346.89,3172.70,4689.89,905.74,2030.16,1896.40,1969.57,855.18,4485.72,277.12,91972.83
GF_B_005,Live,0.00,404.32,6970.27,553.30,1683.32,26134.26,2468.18,33665.13,343.45,457.29,3724.19,6544.25,641.19,3138.46,2427.68,2714.86,852.16,7542.52,327.91,100592.75
GF_B_006,Live,1521.78,164.65,2731.14,223.41,691.03,9750.23,912.89,19884.22,342.68,400.36,989.82,10542.33,706.21,5049.14,4280.92,6760.52,2884.04,17020.71,1132.89,85988.97
GF_B_007,Live,0.00,717.37,13871.33,513.44,1821.17,20176.34,2001.04,15805.28,212.03,239.55,2744.59,3585.16,741.38,1845.27,1686.62,1691.75,695.60,4088.36,226.12,72662.39
GF_B_008,Live,0.00,545.71,7627.98,432.50,1512.77,21592.04,1551.83,25479.42,213.52,385.01,2817.06,5822.87,844.50,2258.66,1977.68,2211.46,1098.04,5437.44,320.77,82129.25
GF_Aboil_001,Heat killed,1538.74,312.53,4912.05,286.77,831.58,11041.71,1097.27,16329.15,251.78,375.15,2348.61,6774.53,715.85,3524.39,2729.99,2534.50,1214.53,6721.63,328.38,63869.13
GF_Aboil_002,Heat killed,0.00,212.38,2677.28,145.90,592.73,5198.61,686.31,7561.37,218.10,375.42,1505.39,11439.23,714.66,4399.12,4264.68,9845.57,1797.63,11061.45,1692.43,64388.24
GF_Aboil_003,Heat killed,0.00,645.88,8959.63,480.42,2571.69,24234.25,2181.84,11509.18,223.47,176.48,1677.24,3219.00,2228.93,2560.59,2237.13,1898.91,1227.50,5920.83,295.78,72248.73
GF_Aboil_004,Heat killed,0.00,223.24,3555.20,186.60,694.68,6398.67,740.44,7967.34,188.48,253.52,1402.01,6200.64,654.05,3896.74,3371.39,4732.09,1541.24,11016.79,857.01,53880.15
GF_Aboil_005,Heat killed,41.95,3945.62,19836.32,819.84,2766.06,29172.79,0.00,20114.34,598.76,351.62,1898.62,6977.02,753.68,5119.91,4708.03,4703.10,1978.61,16144.30,734.73,120665.31
GF_Aboil_006,Heat killed,0.00,1225.32,4593.71,248.34,1206.02,8488.41,841.58,13945.61,509.76,469.66,1219.65,12008.95,746.92,6354.43,5511.59,8333.77,2592.41,15387.22,1241.13,84924.48
GF_Aboil_007,Heat killed,1946.92,235.64,2869.59,165.26,626.29,5767.55,721.05,8481.08,422.91,234.61,1693.79,4728.21,776.05,5128.16,3962.17,3162.37,2005.86,11089.82,514.27,54531.61
GF_Aboil_008,Heat killed,3394.32,617.88,4283.32,207.44,926.99,7363.28,844.32,11138.02,472.25,325.55,2217.69,7354.28,745.72,5972.12,5240.07,5279.04,3350.62,16757.80,1131.85,77622.57
