Sample_ID	Cage	Treatment	Day
C1	19	MD	7
C2	19	MD	7
C3	19	MD	7
C4	20	MD	7
C5	20	MD	7
C6	20	MD	7
C7	13	MD	7
C8	13	MD	7
C9	13	MD	7
C10	17	MD	7
C11	17	MD	7
C12	17	MD	7
C13	4	MD	7
C14	4	MD	7
C15	4	MD	7
C16	10	MD	7
C17	10	MD	7
C18	10	MD	7
C19	7	MD	7
C20	7	MD	7
C21	7	MD	7
C22	11	MD	7
C23	11	MD	7
C24	11	MD	7
C25	6	MD	7
C26	6	MD	7
C27	6	MD	7
C28	9	MD	7
C29	9	MD	7
C30	9	MD	7
C31	18	CL	7
C32	18	CL	7
C33	18	CL	7
C34	3	CL	7
C35	3	CL	7
C36	3	CL	7
C37	14	CL	7
C38	14	CL	7
C39	14	CL	7
C40	16	CL	7
C41	16	CL	7
C42	16	CL	7
C43	12	CL	7
C44	12	CL	7
C45	12	CL	7
C46	15	CL	7
C47	15	CL	7
C48	15	CL	7
C49	1	 CL	7
C50	1	CL	7
C51	1	CL	7
C52	2	CL	7
C53	2	CL	7
C54	2	CL	7
C55	8	CL	7
C56	8	CL	7
C57	8	CL	7
C58	5	CL	7
C59	5	CL	7
C60	5	CL	7
C61	9	MD	14
C62	9	MD	14
C63	9	MD	14
C64	6	MD	14
C65	6	MD	14
C66	6	MD	14
C67	4	MD	14
C68	4	MD	14
C69	4	MD	14
C70	20	MD	14
C71	20	MD	14
C72	20	MD	14
C73	19	MD	14
C74	19	MD	14
C75	19	MD	14
C76	17	MD	14
C77	17	MD	14
C78	17	MD	14
C79	13	MD	14
C80	13	MD	14
C81	13	MD	14
C82	10	MD	14
C83	10	MD	14
C84	10	MD	14
C85	7	MD	14
C86	7	MD	14
C87	7	MD	14
C88	11	MD	14
C89	11	MD	14
C90	11	MD	14
C91	18	CL	14
C92	18	CL	14
C93	18	CL	14
C94	14	CL	14
C95	14	CL	14
C96	14	CL	14
C97	8	CL	14
C99	8	CL	14
C100	12	CL	14
C101	12	CL	14
C102	12	CL	14
C103	1	CL	14
C104	1	CL	14
C105	1	CL	14
C106	2	CL	14
C107	2	CL	14
C108	2	CL	14
C109	5	CL	14
C110	5	CL	14
C111	5	CL	14
C112	16	CL	14
C113	16	CL	14
C114	16	CL	14
C115	15	CL	14
C116	15	CL	14
C117	15	CL	14
C118	3	CL	14
C119	3	CL	14
C120	3	CL	14
