Sample_ID	Treatment	NandF	Experiment	Day	Size	Cage	Hive
1	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
2	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
3	CL	Nurse	Tracking	10	73	TrackingCL1	Tracking1
4	CL	Nurse	Tracking	10	73	TrackingCL1	Tracking1
5	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
6	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
7	CL	Nurse	Tracking	10	73	TrackingCL1	Tracking1
8	CL	Nurse	Tracking	10	73	TrackingCL1	Tracking1
9	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
10	CL	Forager	Tracking	10	73	TrackingCL1	Tracking1
11	MD	Forager	Tracking	10	78	TrackingMD1	Tracking1
12	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
13	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
14	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
15	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
16	MD	Forager	Tracking	10	78	TrackingMD1	Tracking1
17	MD	Forager	Tracking	10	78	TrackingMD1	Tracking1
18	MD	Forager	Tracking	10	78	TrackingMD1	Tracking1
19	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
20	MD	Nurse	Tracking	10	78	TrackingMD1	Tracking1
22	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
23	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
24	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
25	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
26	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
27	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
28	CL	Forager	Tracking	10	85	TrackingCL2	Tracking2
29	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
30	CL	Forager	Tracking	10	85	TrackingCL2	Tracking2
31	CL	Nurse	Tracking	10	85	TrackingCL2	Tracking2
32	MD	Forager	Tracking	10	93	TrackingMD2	Tracking2
33	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
34	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
35	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
36	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
37	MD	Forager	Tracking	10	93	TrackingMD2	Tracking2
38	MD	Forager	Tracking	10	93	TrackingMD2	Tracking2
39	MD	Forager	Tracking	10	93	TrackingMD2	Tracking2
40	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
41	MD	Nurse	Tracking	10	93	TrackingMD2	Tracking2
43	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
44	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
45	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
46	MD	Forager	Tracking	10	93	TrackingMD3	Tracking3
47	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
48	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
49	MD	Forager	Tracking	10	93	TrackingMD3	Tracking3
50	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
51	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
52	MD	Nurse	Tracking	10	93	TrackingMD3	Tracking3
53	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
54	CL	Forager	Tracking	10	84	TrackingCL3	Tracking3
55	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
56	CL	Forager	Tracking	10	84	TrackingCL3	Tracking3
57	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
58	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
59	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
60	CL	Nurse	Tracking	10	84	TrackingCL3	Tracking3
61	CL	Forager	Tracking	10	84	TrackingCL3	Tracking3
