ID,Type,Chainlength,Retention Index,H1_5,H1_6,H1_10,H1_8,H1_9,H2_10,H2_8,H2_5,H2_2,H2_6,H2_7,H2_9,H2_1,H3_5,H3_6,H3_1,H3_8,H3_9,H4_3,H4_4,H4_5,H4_1,H4_2,H5_1,H5_2,H5_5,H5_7,H5_6,H5_10,H5_8,H5_9,H6_1,H6_4,H6_5,H6_6,H6_8,H7_4,H7_5,H7_6,H7_7,H7_8,H7_3,H8_1,H8_2,H8_5,H8_6,H8_7,H9_1,H9_2,H9_4,H9_5,H9_6,H9_9,H10_9,H10_10,H10_1,H10_2,H10_3,H10_4,H10_5,H1B1_6,H1B1_1,H1B1_2,H2B2_2,H2B2_3,H2B5_1,H3B2_1,H3B2_3,H3B6_2,H4B4_4,H4B4_7,H4B4_1,H5B3_7,H5B5_5,H5B5_6,H6B1_1,H6B1_4,H6B6_2,H7B3_1,H7B3_2,H7B3_4,H8B4_2,H8B5_3,H8B5_4,H9B2_5,H9B2_7,H9B5_1,H9B5_3,H10B2_1,H10B2_2,H10B2_4,H1B3_5,H1B3_1,H1B3_3,H2B1_1,H2B1_3,H2B1_4,H3B3_1,H3B3_2,H3B3_4,H4B5_1,H4B5_2,H4B5_3,H5B2_3,H5B2_1,H5B2_2,H6B5_1,H6B5_2,H6B5_4,H7B4_8,H7B4_9,H8B1_1,H8B1_2,H8B1_3,H9B4_1,H9B4_2,H9B4_7,H10B5_1,H10B5_4,H10B5_5,H1B5_3,H1B5_1,H1B5_2,H2B4_3,H2B4_1,H2B4_2,H3B5_3,H3B5_1,H3B5_2,H4B3_4,H4B3_3,H4B3_1,H5B1_3,H5B1_1,H5B1_2,H6B2_1,H6B2_3,H6B2_5,H7B1_1,H7B1_2,H7B1_3,H8B3_1,H8B3_2,H8B3_3,H9B1_1,H9B1_2,H9B1_3,H10B6_1,H10B6_2,H10B6_3,H1B6_4,H1B6_1,H1B6_2,H2B3_3,H2B3_1,H2B3_2,H3B1_3,H3B1_1,H3B1_2,H4B6_1,H4B6_3,H4B6_2,H5B4_4,H5B4_2,H5B4_3,H6B4_1,H6B4_2,H6B4_3,H7B2_1,H7B2_2,H7B2_3,H8B2_1,H8B2_2,H8B2_3,H9B3_1,H9B3_3,H9B3_5,H10B1_2,H10B1_4,H10B1_6
C21,alkane,21,2100,0.082736854,0.077633,0.125570336,0.070408087,0.094660355,0.317557655,0.265713139,0.699895,0.693409,0.217154428,0.347354487,0.239484,0.302642,0.165525737,0.15815662,0.698235397,0.21067159,0.147676069,0.631480385,0.351758534,0.422403396,0.503020832,1.255555585,0.5107,0.156560308,0.075597527,0.226904,0.358657,0.075303251,0.136795035,0.415847647,0.263347239,0,0,0,0.283709,0,0,0,0,0,0.301579,0.36649634,0,0.18945576,0,0,0.388658021,0.175343521,0,0,0,0.491464,0.438121,0,0,0.411590624,0.141016152,0,0.107537956,1.404875968,0.325932974,0.321400297,0.639933981,0.816665404,1.105400213,0.260612506,0.152354295,0.349716734,0.507165434,1.303655648,0.63782,0.355543549,1.181741819,0.279137659,0.237865837,0.380849015,0.568378783,0.578385936,0.437832826,0.648077194,0.25394667,0.199743995,0.331003296,0.8703909,0.651079416,0.590350965,0.569524073,0.651636555,0.490875193,0.518119255,0.839195058,0.87520691,0.911773019,0.874612023,0.964628618,0.23535699,0.635283552,0.410781469,0.688723326,0.311208,0.439293,0.59,1.109409481,0,0,0.465796165,0.521556791,0.336781656,0.572141985,0.758845916,0,0.182077911,0.381418689,0.415693354,0.542840372,0.387959631,1.277928685,0.346949524,0.644198808,0.452771674,0.201837585,0.38322151,0.643114457,0.702461882,0.678126799,0.353010392,0.287731845,0.477502455,0.672919915,0,0.529646,0.560062809,0,0,0.326750657,0.673585584,0.654834633,0.993295339,0.836670412,0.716925606,0.424294833,0.372279961,0.532572217,0.326408695,0.528114602,0.560707728,0.609273155,1.059686357,1.368253475,0.867117812,0.494183528,0.4573588,0.757994527,0.711003806,0.404211139,0.902488814,0.648419786,0.697692254,0.297989233,0.454086271,0.410344,0.346522676,0.743429,0,0.430928259,0.417996792,0.564055541,0.625544865,0.392480645,0.442771489,0.585112176,0.370564483,0.439900703,0.468063294,0.564848998,0.545227743,1.480107964,0.527448991,0.661277295
C22,alkane,22,2200,0.066835775,0.056711,0,0.067576391,0.09901068,0,0.091756822,0.239622,0.238366,0.076964381,0.113263596,0.191502,0.108924,0,0,0.147094161,0,0,0,0,0,0,0.095971206,0.304548,0.064240398,0.088102945,0.2695,0.111238,0,0.137039942,0.196748066,0,0,0,0,0.169829,0,0,0.348052511,0,0,0.224062,0,0,0,0,0,0,0.082003769,0,0,0,0.169934,0.250284,0,0,0.078877501,0,0,0,0.121479573,0.167308051,0.110123506,0.308380149,0.273946579,0.18423604,0,0,0,0,0,0,0,0.152333093,0.127915243,0.114897969,0,0.116524691,0,0,0.199933771,0.093422784,0,0.145141655,0.104416355,0.097603507,0.228752665,0.224540711,0.127536821,0.280044697,0.097353533,0.077391769,0.135023488,0.149011756,0.199577964,0.15154734,0,0.073536092,0.200191055,0,0,0,0,0.133717042,0,0,0.07679126,0.117767324,0,0,0.103598795,0,0,0,0.161963681,0,0.168218754,0.136761583,0,0.169332138,0,0,0.076405673,0,0,0.092837408,0,0.16959182,0,0,0,0,0,0,0,0,0,0.14420781,0,0.213988412,0.268150835,0.197883998,0.186684532,0.194469123,0.074523688,0,0.181853145,0,0.10145339,0,0.095814506,0.119186612,0.124514745,0.178005661,0.069452883,0.133183038,0.089975995,0,0.091956207,0,0.076537183,0,0,0,0,0.095759946,0.142533765,0,0.128938489,0.101170681,0,0,0,0,0.171097925,0.190203066,0.186043412,0.120778455,0,0.126619073
C23ene_1,alkene,23,2273,0.063550117,0.106574,0.070712509,0.063698971,0.117181425,0.417582575,0.427853001,2.627552,2.719747,0.346687393,0.544000622,1.705473,0.437896,0.146602159,0.148696873,0.148190731,0.196663116,0.154662303,0.289751771,0.220506243,0.21555765,0.235316393,0.122438308,1.734498,0.21429697,0.142327732,2.111638,0.533008,0.144713873,0.290065797,2.460517585,0,0.145848093,0.214014182,0,0.936783,0,0,1.048191324,0,0,1.412649,0,0,0.138938453,0,0,0.110219051,0.164526603,0,0,0,0.445558,1.987808,0,0,0.081496598,0,0,0,0.48687251,2.037338328,1.190711616,2.233174936,3.770464298,1.521812861,0.701095258,1.230688761,2.016795647,0.319522446,0.479268269,0.571757,2.205481873,0.68126823,0.78164671,1.037526685,0.340570425,0.728180958,0.587671998,0.307540671,2.517349973,1.141618527,0.107169573,1.87139759,0.488811595,0.518622544,2.701603564,3.761988939,0.550044481,3.979750494,0.960661791,0.229091256,0.333150191,0.796089708,0.436071181,0.253764779,0,0.276481913,2.536339412,0.601952969,2.033241,2.346594,0.86,0.719444138,2.155997,0.593198,0.568232359,1.122830713,0.358454695,0.385885296,0.312448859,0,0.442813596,0.114197668,2.583116752,1.128802831,1.889745068,0.682331385,0.383736846,2.491678703,0.206580729,0,0.099804427,0.338384794,0,0.138247591,0.825253895,2.542363216,0.451752776,0.447632136,0.839386,0.659756,0.254340314,0.711629,0.986316,0.383265357,0.535906812,1.906397407,0.792401288,2.834641049,2.848318042,2.202949726,2.297409555,2.872480319,0.696099964,3.800482869,2.416540811,0.166080341,0.197990141,0.21949708,0.530448642,1.773258764,1.2732818,3.120279114,0.115054414,0.505401571,0.507377856,0.611919873,0.484669026,1.985596804,0.469598428,1.0875,0,0,0,0.769703326,0.949971279,1.089874554,0.479703552,0.551425119,0.589724076,0.482320443,3.154218696,0.330675518,2.023321822,2.312437131,2.416147657,0.358604511,0.248919303,0.759737098
C23ene_2,alkene,23,2279,0,0,0,0,0,0,0.062067781,0.34713,0.338517,0,0,0.230473,0.089158,0,0,0,0,0,0,0,0,0,0,0.159966,0,0,0.356236,0.063539,0,0,0.15684764,0,0,0,0,0.09401,0,0,0.387362218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230887484,0.337180333,0,0,0,0.326513792,0.068587557,0,0.15816827,0,0.073105884,0,0,0.141252022,0,0,0,0,0,0.198647735,0.477839052,0.074203466,0.553388087,0.114068684,0,0,0,0,0,0,0,0,0,0.180332,0,0,0.079921183,0.413034,0,0,0,0,0,0,0,0,0,0.225231704,0,0,0.075392946,0,0.157143977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576647921,0.344442151,0.126518962,0.140112871,0.143068146,0,0.28441573,0.209297247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6518615,0,0.184122438,0.291877248,0.261454492,0,0,0
C23,alkene,23,2300,1.058346378,2.187698,1.619321889,1.257400787,1.76622863,5.346281954,2.93542201,13.704104,18.322954,3.514853865,5.30753286,19.299984,6.394787,2.671643743,2.630623968,6.214790704,2.834803431,2.439827943,3.412032369,2.521812745,3.039781251,3.552501136,3.460138642,17.138407,3.002328741,1.79387449,18.998055,6.663235,1.934739442,3.47381791,15.19991062,3.485935501,2.985212408,3.148589876,2.30649972,8.135271,2.276056055,2.247336596,3.064918316,2.112909625,2.472458093,16.286475,4.588391373,1.964990664,2.942668783,2.954042649,2.352889784,3.059947618,2.027845929,2.826382363,1.9726134,1.616607224,6.708342,10.937774,1.781411,2.160174691,2.491714467,3.125153833,1.687999709,2.742603477,5.583894249,13.37350433,10.33021065,19.22362705,13.97152821,11.31665732,6.301034219,13.85132891,14.32864549,4.675863695,4.965438596,18.967298,16.05577185,7.679286468,19.19119926,12.75202286,4.754171732,7.662596796,5.816070656,5.862023847,10.66802343,10.30072591,1.780623521,16.19343888,8.187017124,6.090386465,15.16363816,18.8598628,7.505654134,20.37416388,5.166187348,3.495512076,5.038751886,12.32976426,7.679786014,5.330270748,2.066589599,4.412838063,16.72665245,8.299957171,20.116377,14.975341,6.74,7.721477492,19.296887,15.210403,4.958750579,9.732489462,4.563947921,5.718622558,6.934171939,4.106896627,10.32445511,4.793129125,15.9543583,11.50823317,15.99529704,5.292078723,4.230130662,9.31902121,6.086106683,2.543181899,1.860845152,4.66077638,2.200560862,4.039619959,9.525152005,15.46965779,6.671927215,4.210956962,6.518387,5.893698,4.792801274,10.056568,13.150349,5.538656999,5.847606797,9.972686101,7.074251718,6.804696147,16.57310608,16.50946309,18.04626213,14.83974707,8.406563448,10.88013718,13.1712007,2.191453088,2.752949006,3.064859176,4.500468982,8.72598682,8.784920588,4.841737883,3.382355625,13.47067604,5.610392934,6.171271598,4.663971858,14.11651109,5.247056384,6.999212,3.010885141,2.819052,2.242638,7.449891679,17.69800136,9.366173507,9.776975422,14.53451234,6.905559638,6.388381255,15.42190618,5.741168607,15.01236194,15.68291736,14.37137062,3.519571889,4.205978153,12.13452046
C24,alkane,24,2400,0.084800798,0.097587,0.071383077,0.076569562,0.103079854,0.200085331,0.111729983,0.605415,0.620223,0.182760128,0.237148454,0.703651,0.207383,0,0.208408775,0.2314873,0,0.126756824,0.152108357,0,0.143868252,0.213660808,0.147890526,1.0069,0.120479676,0.115699202,0.900867,0.304595,0.089775109,0.160113735,0.57083153,0,0.155823335,0,0,0.665069,0,0,0,0,0,0.741667,0.166167019,0,0,0,0,0.123580906,0.110438471,0,0,0,0.343522,0.676068,0,0,0.112193823,0.147461046,0,0.172032074,0.184276221,0.702902504,0.674941117,0.881812528,0.412556098,0.538759454,0.331787309,0.483566609,0.536170112,0.209064888,0.248914452,0.708523,0.469199755,0.370846298,0.693723323,0.364269492,0,0.235138633,0.174666356,0.170861086,0.498267221,0.569626033,0,0.586529581,0.46761128,0.236621072,0.903333644,0.667840882,0.187326641,0.587888638,0.131175381,0.153509659,0.353835395,0.786445476,0.372295683,0.205094917,0,0.247533789,0.774096978,0.40521542,0.825674,0.666454,0.4,0.432532042,0.694049,0.746257,0.25061599,0.608392973,0.186348144,0.212988768,0.198109549,0,0.622010586,0.144547795,0.488113138,0.472817603,0.597939453,0.219465039,0.127552707,0.35094385,0.201194199,0.09565932,0.12569709,0.143155484,0,0.132471799,0.607538923,0.612003152,0.494871366,0,0,0.289645,0.27030409,0,0,0.176529016,0.231682142,0.597663854,0.256841014,0.245007304,0.593855609,0.788555848,0.793071927,0.716062747,0.5688072,0.389437191,0.503930107,0.083552446,0.120492799,0.13024141,0.349037673,0.540683181,0.672819783,0.100592004,0.203831783,0.482897804,0.224996594,0.195707001,0.125416976,0.707263776,0.236589355,0.331152,0,0,0,0.365374609,0.823374321,0.384134474,0.291921903,0.748844979,0.272665424,0,0.521990114,0,0.674260201,0.63554218,0.656491746,0.158829681,0.128693392,0.575405423
C25diene,alkadien,25,2469,0.214128827,0.016788,0,0,0,0,0,0.266732,0.21522,0.835505401,1.14167749,0.238173,0,0.38840215,0.366596594,0,0,0,0,0,0,0.657676811,0.507524324,0,0.656377156,0.508281858,0.407717,0,0,0,0.294727912,0,0,0,0,0.47678,0,0,0,0,0,0.180783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357229215,0,0,0,0.307576979,0.222394444,0,0,0.086595777,0.259584184,0.190933,0.397250367,0.16738664,0,0,0,0.149671441,0,0,0.803002994,0.436532918,0,0.222860731,0.155823342,0,0,0,0,0.253771738,0.123762046,0.109764859,0.163609648,0.37530301,0.094004077,0.071861542,0,0.065082243,0.6199021,0.220470218,0.373928,0.871232,0.26,0,0,0,0.200568459,0.385897132,0.129442698,0,0,0,0,0,0,0,0,0.307310444,0,0.923955333,0,0,0,0,0,0.036631356,0.61913099,0.381475474,0,0,0,0,0.071206566,0,0,0,0,0.992257537,0.254595364,0.257828476,0.919798317,0,0,0.496173745,0.409408985,0.632659411,0.292623233,0,0.082376435,0.099549886,0.180362331,0.554164139,0.744632904,0,0,0.131370867,0,0.12631972,0.08782992,0,0.109052429,0,0,0,0,0.287265467,0.449662902,0.414403166,0,0,0,0,0,0,0,0,0,0.166887714,0,0
C25ene_1,alkene,25,2473,0,0.446507,0.215515689,0.252544371,0.524838612,1.047835901,0.856647306,4.485958,3.583614,0,0,3.374847,1.309981,0,0,0.382599265,0.41390019,0.401120643,0.983944857,0.614338264,0.817970524,0,0,4.841144,0,0,4.727295,1.440603,0.376379014,0.971333206,3.948780167,0.740058625,0.832519546,1.006880471,0.470076643,2.979234,0.428814052,0.441035254,0.367627955,0,0.508636608,3.511004,0.32891,0.34399707,0.270661041,0.343082636,0.482889869,0.332262555,0.551514191,0.396339251,0.416643515,0.31224126,1.170764,4.64263,0.36449,0.282999328,0.311773657,0.366396962,0.393647262,0.309019388,1.284487804,2.56506947,3.020219156,2.529912041,4.153537574,3.141401697,1.960909186,2.888353357,4.115439974,0.818754843,1.297902885,2.199165,4.415177484,1.886554796,2.618733492,1.655026328,0.612807246,1.805438546,1.082282369,0.635737745,3.40472123,4.495450947,0.220977018,4.909412491,1.622080645,1.40556138,5.594720893,6.982110904,0.919276059,3.12440468,1.170316556,0.707216547,1.023521797,2.147931323,0.736428134,0.332483799,0,0.609998673,4.849162629,1.909036637,3.550211,4.628528,1.94,2.304714886,4.090327,2.480413,1.565681717,3.262516875,1.165621589,0.991064116,0.849827175,0.555187209,2.153548563,0.384131157,3.561159132,2.554947983,3.7101842,1.342184862,0.76118174,3.317580764,0.43345854,0.142127121,0.203321138,0.659374937,0,0.222160234,3.47879048,3.973611058,1.231745938,0.926234514,1.587394,1.171287,0.623488632,1.317527,2.136795,0.904891036,1.327894349,4.792894346,1.40923063,1.201371356,3.157487645,6.09613847,5.595049061,5.743544637,2.00892688,4.055904163,3.319718671,0.311092426,0.35925871,0.436451039,1.552947983,3.973840672,4.281004703,0.478565979,0.194577549,1.277426742,1.190493405,1.359774388,0.979590029,4.33681048,1.144452717,1.913221,0.327153581,0.353856,0,2.074121071,3.015175472,2.923740921,1.590429999,1.860073703,1.656987184,0.800065843,5.701253447,0.719595859,3.88058239,3.725764023,4.506440759,0.68517846,0.536201551,2.224264988
C25ene_2,alkene,25,2480,0,0.076039,0,0,0.088296388,0.178000708,0.137499024,0.580883,0.597405,0.134585282,0.186640374,0.607829,0.236558,0,0,0,0,0,0.280152668,0,0.210310059,0,0.136881488,0.631566,0.107817719,0.082973313,1.0975,0.208963,0,0.160286331,0.426487708,0,0,0,0,0.436293,0,0,0,0,0,0.564247,0,0,0,0,0,0,0.098601128,0,0,0,0.205725,0.599521,0,0,0,0,0,0,0.144419619,0.344519773,0.472180945,0.494045991,0.435544613,0.359381208,0,0.639161017,1.211653758,0,0,0,1.102120816,0.263347932,0.413640338,0.602909176,0,0.295102341,0,0,0,0,0,0.482116684,0.23857553,0.167077449,1.007674591,1.772975109,0.180324323,0.715669661,0.223745941,0.108061449,0.165472096,0.38055744,0,0,0,0.121068195,0.784442592,0.297039382,0.507139,0.447605,0,0.436936356,1.131224,0.520359,0.210009736,0.497277179,0.168264023,0.148634025,0.132790143,0,0.178393624,0,0.497675759,0.306581131,0.518769396,0.224713019,0,0.378374309,0,0,0,0,0,0,0,0.72735195,0,0,0,0,0.120771733,0,0,0,0.25764564,0.477036426,0,0,0.352486111,0.711139111,0.47933406,0.45108453,0.197052974,0.476031176,0.541473379,0,0,0,0.108605007,0.329992929,0.273606239,0,0,0.170760114,0.231909385,0.309759728,0.230267216,0.453158344,0.160818865,0,0,0,0,0.232288512,0.372846097,0.301318887,0.17261806,0.166360835,0.159054839,0,1.43664012,0,0.719882874,0.814398561,0.937341175,0,0,0.435714224
C25,alkane,25,2500,2.003087563,3.999826,3.422840324,3.402866726,2.977072136,6.787734504,3.299553923,17.404475,19.094376,6.189064719,6.772704735,21.467432,8.060437,3.238860471,3.46743494,5.694222983,3.842559064,4.461327821,4.668671421,3.772031378,5.191437017,4.95867393,3.726334842,25.298678,4.41462088,3.832279924,23.299892,12.461948,4.872570632,5.209559364,20.63163819,5.351941857,5.191261401,5.241457056,3.569998725,19.140892,3.471024199,4.030901408,4.886550749,3.400202294,6.781969259,24.412821,5.475305194,4.263860119,4.557057887,5.54360111,3.707098402,3.323060209,3.580958933,4.497382503,2.77772603,3.218801103,10.131589,16.974299,4.021388,2.972992088,2.507512954,4.772946579,3.671336273,4.908866368,7.442805294,21.61339549,24.31062226,25.40835496,15.4189025,20.91425605,16.19694011,19.299464,21.42016283,9.65670065,8.350180302,33.863224,18.73790166,14.42608498,27.42593303,16.98443853,4.53459619,8.186544153,7.193079476,5.838115976,18.27812731,25.35542037,2.817846147,22.36703804,25.18695506,9.752359146,28.20344467,25.92235088,5.979015242,19.30095324,5.384681747,5.103420278,6.457703041,21.19542446,8.692606246,4.246838413,1.559645209,10.34211108,23.73711181,18.87285859,31.502137,26.608348,15.83,18.10346505,28.614817,44.200853,11.64128927,28.70660074,7.79534045,8.539430965,6.776887562,5.425249467,33.77208352,6.582519983,20.74100654,24.06923699,25.87621695,5.185312248,4.769742567,10.50199759,9.401258036,2.384055009,2.463554588,5.222392362,2.361443502,2.950047109,29.39153208,18.66980233,8.323793271,7.784207325,12.136533,11.717069,12.79796633,12.189904,10.447449,8.100703235,9.857421988,25.39459464,7.039334209,7.59699516,15.31818386,29.74119108,29.55331971,25.3452064,28.4155954,16.61858639,20.50270277,2.50335767,2.17441875,2.760680502,14.97892424,21.13972332,22.13198031,2.418093548,8.688442956,20.31229263,10.31527294,6.163454581,4.057528667,30.39186754,9.295009309,13.453361,1.959002541,1.706432,2.211006,14.93189416,31.34742934,16.14997041,11.18922086,36.63265091,12.19693937,4.113198533,20.9768676,5.221821644,29.12087414,26.05452715,25.71329314,3.396912169,5.661141294,24.7977813
