Sample_ID	Treatment	Lactobacillus Firm-5	Lactobacillus Firm-5	Lactobacillus kunkeei	Lactobacillus Firm-4	Bartonella apis	Bombella apis	Gilliamella apicola	Lactobacillus Firm-5	Gilliamella apicola	Snodgrassella alvi	Bifidobacterium asteroides	Snodgrassella alvi	Lactobacillus Firm-5	Bifidobacterium asteroides	Lactobacillus Firm-4	Lactobacillus Firm-5	Gluconacetobacter sp.	Frischella perrara	Lonsdalea quercina	Gluconacetobacter sp.	Bombella apis	Lactobacillus Firm-4	Pantoea sp.	Pantoea sp.	Fructobacillus sp.	Bifidobacterium coryneforme	Gluconobacter sp.	Frischella perrara	Lactobacillus Firm-4	Lactobacillus Firm-5	Spiroplasma sp.	Frischella perrara	Lactobacillus Firm-5	Serratia sp.	Zymobacter sp.	Bartonella apis	Neisseriaceae	Erwinia 	Enterobacteriaceae	Fructobacillus 	Enterobacteriaceae	Neisseriaceae	Lactobacillus 	Fructobacillus 	Fructobacillus 	Enterobacteriaceae	Neisseriaceae	Pasteurellales	Pasteurellales	Pasteurellales	Lactobacillus 	Pasteurellales	Pasteurellales	Pasteurellales	Lactobacillus 	Enterobacteriaceae	Neisseriaceae	Bifidobacterium 	Lactobacillus 	Serratia 	Enterobacteriales	Enterococcus 	Serratia 	Halomonadaceae	Pasteurellales	Gluconobacter 	Lactobacillus 	Pasteurellales	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Pasteurellales	Bacteria	Bacteria	Bacteria	Bacteria	Fructobacillus 	Pasteurellales	Pasteurellales	Bifidobacterium 	Bacteria	Fructobacillus 	Bacteria	Bacteria	Bacteria	Bacteria	Pasteurellales	Pasteurellales	Pasteurellales	Bacteria	Pasteurellales	Pasteurellales	Snodgrassella alvi	Fructobacillus 	Pasteurellales	Snodgrassella alvi	Lactobacillales	Pasteurellales	Lactobacillales	Enterobacteriaceae	Fructobacillus 	Bartonellaceae	Pasteurellales	Pasteurellales	Fructobacillus 	Fructobacillus 	Neisseriaceae	Pasteurellales	Fructobacillus 	Erwinia 	Lactobacillus 	Pasteurellales	Lactobacillus 	Snodgrassella alvi	Lactobacillales	Pasteurellales	Betaproteobacteria	Enterobacteriaceae	Halomonadaceae	Acetobacteraceae	Rhizobiales	Gluconobacter 	Bartonellaceae	Rhizobiales	Pasteurellales	Fructobacillus 	Lactobacillus 	Bacteria	Enterobacteriaceae	Lactobacillus 	Pasteurellales	Pasteurellales	Lactobacillus 	Pasteurellales	Rhizobiales	Bacteria	Pasteurellales	Rhizobiales	Fructobacillus 	Pasteurellales	Snodgrassella alvi	Leuconostocaceae	Lactobacillus 	Lactobacillus 	Bifidobacterium 	Acetobacteraceae	Lactobacillales	Gluconobacter 	Pasteurellales	Bacilli	Enterobacteriaceae	Bifidobacterium 	Lactobacillus 	Bartonellaceae	Lactobacillales	Fructobacillus 	Enterobacteriaceae	Bifidobacterium 	Pasteurellales	Enterobacteriaceae	Pasteurellales	Fructobacillus 	Rhizobiales	Neisseriaceae	Enterobacteriaceae	Pasteurellales	Snodgrassella alvi	Snodgrassella alvi	Lactobacillus 	Lactobacillales	Lactobacillus 	Lactobacillus 	Enterobacteriaceae	Rhizobiales	Proteobacteria	Bartonellaceae	Streptococcus 	Pasteurellales	Lactobacillus 	Pasteurellales	Bacteria	Snodgrassella alvi	Gluconobacter 	Enterobacteriaceae	Actinobacteria	Peptoniphilus 	Bifidobacterium 	Proteobacteria	Novosphingobium 	Fructobacillus 	Snodgrassella alvi	Neisseriaceae	Gluconobacter 	Rickettsiales	Pasteurellales
X1	Heat killed	144	130	495	11	46	37	0	25	0	136	43	151	81	0	25	0	29	57	67	0	212	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X2	Heat killed	52	78	354	9	6	64	35	51	0	80	23	60	0	0	35	137	0	264	304	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X3	Heat killed	27	85	119	5	653	36	170	37	195	98	0	75	69	46	0	0	90	0	0	0	43	30	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X4	Heat killed	143	137	419	11	6	45	140	37	138	38	34	0	68	25	55	0	0	161	150	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X5	Heat killed	143	27	354	0	4	19	445	50	482	0	30	0	0	36	28	156	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X6	Heat killed	72	16	176	9	431	50	127	9	113	167	21	159	32	0	5	0	7	182	173	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X7	Heat killed	220	46	396	8	7	0	374	32	372	81	0	0	76	81	0	0	0	2	0	16	5	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X8	Heat killed	193	117	370	12	131	10	0	19	58	147	43	117	0	0	26	90	62	107	104	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	17	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X9	Heat killed	80	81	131	10	16	50	0	24	4	107	0	101	46	66	41	44	0	471	472	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X10	Heat killed	295	66	354	16	0	63	96	135	127	198	0	205	0	45	0	53	51	0	0	0	27	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
