Sample_ID	Treatment	Lactobacillus Firm-5	Lactobacillus Firm-5	Bifidobacterium sp.	Lactobacillus Firm-5	Bifidobacterium asteroides	Lactobacillus Firm-5	Snodgrassella alvi	Gluconacetobacter sp.	Bifidobacterium coryneforme	Lactobacillus Firm-4	Gibbsiella sp.	Lactobacillus kunkeei	Gilliamella apicola	Escherichia coli	Lactobacillus sp.	Lonsdalea quercina	Bartonella apis	Lactobacillus Firm-4	Bartonella apis	Frischella perrara	Acetobacteraceae	Lactobacillus 	Lactobacillus 	Gluconobacter 	Lactobacillus 	Lactobacillus 	Lactobacillus 	Neisseriaceae	Lactobacillus 	Lactobacillus 	Lactobacillus 	Lactobacillales	Enterobacteriaceae	Snodgrassella alvi	Alphaproteobacteria	Pasteurellales	Lactobacillus 	Snodgrassella alvi
X1	Lonsdalea quercina	115	112	9	42	58	28	162	394	11	3	0	3	0	0	27	25	0	0	22	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
X2	Lonsdalea quercina	120	59	102	46	102	42	307	77	23	1	4	10	0	37	0	155	2	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
X3	Lonsdalea quercina	0	6	6	89	63	52	257	34	0	0	0	13	0	3	0	0	0	0	0	524	0	12	0	0	40	14	0	0	0	13	0	0	0	0	0	0	0	0
X4	Lonsdalea quercina	328	0	40	119	0	0	372	133	24	0	0	3	0	44	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X5	Lonsdalea quercina	19	135	75	18	48	9	174	27	14	2	0	3	269	8	0	85	206	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
X6	Lonsdalea quercina	50	113	174	0	77	38	436	37	0	2	0	6	0	28	0	83	0	37	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X7	Lonsdalea quercina	48	102	165	21	58	15	0	251	2	4	0	0	0	16	0	85	94	21	4	124	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0
X8	Lonsdalea quercina	101	34	277	8	95	75	5	0	8	0	9	5	0	58	0	332	0	27	67	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X9	Lonsdalea quercina	71	9	216	26	89	46	386	32	2	5	0	0	0	37	0	127	0	10	0	0	0	0	0	0	25	0	45	0	0	0	0	0	0	0	0	0	0	0
X10	Gilliamella apicola	8	13	89	25	35	39	161	0	6	0	146	0	164	0	11	0	422	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11	Gilliamella apicola	78	118	66	5	42	293	0	70	5	12	336	0	4	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	2	0	0	0
X12	Gilliamella apicola	101	113	10	32	66	95	503	0	4	9	132	0	0	0	47	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X13	Gilliamella apicola	58	69	4	92	62	68	224	34	0	7	44	0	434	0	10	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X14	Gilliamella apicola	148	67	30	64	46	0	106	17	0	4	125	3	358	0	24	0	0	0	7	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X15	Gilliamella apicola	65	56	216	0	0	47	360	172	23	0	34	0	4	93	0	0	0	0	26	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
X16	Gilliamella apicola	18	29	12	51	45	93	472	5	2	5	3	4	1	0	15	0	292	0	0	0	0	20	0	0	34	23	0	0	0	0	0	0	0	2	0	0	0	0
X17	Gilliamella apicola	19	16	0	72	29	9	390	4	8	3	16	0	335	0	0	0	211	0	0	4	0	0	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X18	Gilliamella apicola	137	73	143	192	70	69	0	0	0	0	407	12	0	0	10	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X19	Gilliamella apicola	45	33	26	53	53	22	469	18	14	2	99	1	5	0	14	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
