Compound,Ret_time,Ret_Index,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C71,C72,C73,C75,C76,C77,C78,C79,C8,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C9,C90,C91,C92,C93,C94,C95,C96,C97,C99,C1,C10
C21,9.2995,2100,0.012849325,0.006816666,0.004515072,0.005005612,0.005837593,0.004243064,0.002608961,0.00409694,0.002041986,0.004723512,0.007118969,0.009026532,0.002606365,0.012820849,0.004925121,0.014924556,0.003953325,0.005450064,0.002116949,0.002983967,0.003004168,0.0088211,0.003441876,0.004843297,0.006709801,0.010340672,0.008543863,0.006013289,0.006381257,0.01371115,0.009308899,0.006722608,0.006939043,0.004086249,0.003731662,0.00336112,0.003898434,0.004804362,0.003472813,0.004780524,0.003568088,0.005110489,0.004568121,0.0054358,0.004600844,0.007117811,0.006849444,0.011926207,0.005433486,0.003491968,0.006540603,0.009482619,0.006081018,0.00982192,0.007200687,0.005857188,0.009688988,0.006048791,0.005548906,0.004940393,0.002674541,0.002845767,0.007976438,0.004552844,0.007332467,0.010033703,0.00563572,0.005789846,0.005199631,0.007875228,0.005148674,0.005137683,0.007028308,0.005214621,0.004615519,0.006970744,0.003219193,0.004260052,0.002151213,0.003298715,0.002723327,0.003965554,0.001950649,0.008687711,0.003033496,0.015267071,0.004048027,0.005986436,0.00398465,0.008719873,0.010445678,0.003174923,0.004252597,0.003443828,0.003563574,0.004923011,0.002624071,0.005644008,0.003564455,0.00148009,0.004479648,0.002577974,0.004053402,0.00313677,0.002322809,0.006203865,0.002977722,0.00322757,0.001200364,0.002644843,0.003432955,0.004016591,0.00465409,0.00373492,0.003108276,0.007176971,0.004858666,0.006604583
C22,10.0568,2200,0.003160558,0.002672549,0.002204039,0.002062828,0.001566123,0.001251615,0.00065528,0.002539209,0.000596163,0.002774282,0.001140924,0.005385181,0.001122605,0.002524707,0.001600883,0.008031234,0.001441704,0.001259456,0.000938429,0.000967197,0.001024205,0.001209081,0.001208403,0.001042486,0.002103523,0.001649345,0.001743202,0.00110399,0.001743107,0.001639852,0.001344067,0.001297583,0.000897642,0.000821205,0.001092207,0.000862049,0.000818099,0.001128034,0.000933474,0.000983011,0.000750044,0.000922963,0.001017811,0.000942017,0.000959168,0.001227493,0.002408976,0.001563202,0.002824047,0.001002611,0.002082852,0.002135286,0.000870345,0.001692815,0.001225624,0.001218286,0.001884985,0.001449874,0.001824552,0.001292939,0.000795777,0.00089826,0.001504781,0.000914668,0.001309648,0.001619891,0.001272238,0.001944272,0.00123727,0.001763897,0.000856574,0.001022583,0.001427973,0.001030564,0.002481943,0.001448654,0.001024293,0.001286073,0.00093649,0,0.000618874,0.001004525,0.000708795,0.000882512,0.000807509,0.001492487,0.003310053,0.001610656,0.001259974,0.001685892,0.002376752,0.002148474,0.003656003,0.001119804,0.00108135,0.001011352,0.000847509,0.001270235,0.000626925,0.000530191,0.002377083,0.001274544,0.002830137,0.001112429,0.000753827,0.001648129,0.000689244,0.001962077,0.000648488,0,0.001080777,0.001586634,0.001413086,0.001658597,0.00121457,0.001512369,0.002148574,0.003064004
C23ene,10.669,2275.7,0.055270718,0.070020175,0.038272007,0.036792575,0.038689544,0.009605517,0.005103838,0.043307464,0.002257603,0.051257679,0.008039689,0.07312576,0.017019415,0.043755427,0.019154455,0.026187408,0.012226728,0.011742131,0.004583232,0.010464402,0.01193014,0.013999514,0.013073714,0.003432569,0.031485883,0.006409983,0.002955363,0.003835672,0.00505119,0.002752672,0.003146328,0.004536224,0.002189009,0.002623829,0.00229507,0.001604374,0.003451898,0.006359109,0.001527288,0.004222644,0.004075711,0.005142435,0.0055077,0.002947162,0.002750828,0.003647196,0.029164745,0.017489614,0.037407239,0.007766217,0.047883753,0.010930753,0.006565439,0.006743122,0.004131882,0.001706753,0.018502934,0.017049756,0.022213246,0.027004293,0.001875224,0.002120399,0.003160849,0.006100129,0.002584995,0.002293405,0.005318682,0.047015359,0.002868855,0.037131958,0.005167123,0.004147755,0.014057022,0.005903066,0.026274889,0.007499911,0.00395709,0.007988789,0.004778669,0.005718597,0.005306059,0.023772556,0.00285133,0.00452518,0.002992762,0.005831901,0.033542851,0.022028214,0.017342222,0.013086447,0.024673044,0.027756997,0.04833538,0.01686757,0.008540618,0.003406749,0.01095969,0.033807115,0.001425187,0.001766064,0.025246338,0.014010253,0.048746763,0.010763333,0.003510925,0.027889484,0.002326881,0.051115543,0.001149718,0.003671362,0.008821701,0.017485699,0.020515572,0.018892679,0.012606053,0.015751761,0.041335911,0.040580703
C23,10.8655,2300,0.138866213,0.129064394,0.127588459,0.108697145,0.073578295,0.077590253,0.033637755,0.154718169,0.026024532,0.148408769,0.049003506,0.167971449,0.067190676,0.071477669,0.059227159,0.056301049,0.049234399,0.042535178,0.026939024,0.056399512,0.055249214,0.054100503,0.061331588,0.045342038,0.096437556,0.06968645,0.060278249,0.052820766,0.046786141,0.058710375,0.072933101,0.050692027,0.056015192,0.027014285,0.049978246,0.041129211,0.031608561,0.100923849,0.060141162,0.038089219,0.031403694,0.056242788,0.043605691,0.033595925,0.04704545,0.051103484,0.129102425,0.074240695,0.196762902,0.061618287,0.132559846,0.085576207,0.056157288,0.040076861,0.033829035,0.058587304,0.09899006,0.132389252,0.148469895,0.086506542,0.024498463,0.02593676,0.053353008,0.0591557,0.062494316,0.053122887,0.041948299,0.157547139,0.057820324,0.110753689,0.037164983,0.054130353,0.055820214,0.051217832,0.16522686,0.062638791,0.04871603,0.050818014,0.040192672,0.037956582,0.028494038,0.06089808,0.067981389,0.028027036,0.025381408,0.041022661,0.135773508,0.072228245,0.064775897,0.05444571,0.090415153,0.173199926,0.201966106,0.06496543,0.052677385,0.035016355,0.034551502,0.069908974,0.033329811,0.019484584,0.180837191,0.089107615,0.1174057,0.049949421,0.024897761,0.0836246,0.025145599,0.119129798,0.02234724,0.031893764,0.062015335,0.117604835,0.093143146,0.114609967,0.05338142,0.05915245,0.230701017,0.147704478
C24,11.6808,2400,0.010058712,0.010049053,0.0090177,0.006463506,0.005716963,0.003782096,0.001457091,0.00960001,0.001034528,0.010192496,0.001585541,0.019804099,0.003517677,0.005382786,0.005488937,0.00515568,0.001900751,0.00176635,0.001201678,0.002784134,0.002073323,0.00155302,0.003035901,0.001244613,0.007585348,0.003011297,0.001285938,0.001608501,0.001195447,0.001257844,0.001762145,0.001586324,0.001346725,0.000727498,0.001294846,0.001054469,0.00120062,0.004561281,0.001921401,0.001323891,0.001398332,0.001361863,0.001847268,0.001055761,0.001183834,0.001689858,0.007537814,0.006227793,0.009104442,0.001984329,0.005033541,0.003309788,0.001259251,0.001293061,0,0.000986185,0.004118201,0.007018932,0.00612306,0.003497025,0.000929557,0.000973802,0.00176008,0.002575388,0.002078395,0.001616196,0.001801949,0.007755276,0.00138275,0.004583434,0.000974765,0.001586098,0.00248313,0.001674107,0.009817717,0.002139789,0.00188051,0.001863397,0.001691742,0.001639229,0.001416725,0.002939967,0.005424999,0.001399343,0.001220254,0.002060231,0.010629714,0.005938476,0.004240126,0.002710788,0.00513758,0.012161048,0.013770022,0.003050204,0.002925552,0,0.001318927,0.005536802,0.000917471,0,0.008616089,0.006493144,0.009066491,0.002251538,0.000912251,0.007543343,0.000810927,0.00621586,0.000829459,0.001727785,0.008959196,0.008341763,0.003359124,0.011208808,0.002242743,0.002825244,0.007719148,0.011308559
C25ene,12.3316,2476.3,0.147584782,0.147215012,0.099533141,0.078887409,0.09060927,0.041800069,0.016649795,0.086484103,0.007689754,0.112228301,0.014955181,0.137679426,0.049125695,0.062862885,0.050633473,0.045430547,0.02966486,0.026234195,0.013288331,0.032029957,0.043330688,0.022730932,0.040803523,0.006461386,0.055863501,0.013598473,0.006471147,0.00644976,0.010615073,0.007834066,0.010683332,0.011872822,0.005928962,0.005750023,0.00472507,0.003763546,0.00547639,0.027791897,0.004387332,0.007891135,0.008706926,0.012033224,0.015305787,0.004911163,0.004525472,0.005055706,0.06972799,0.055344521,0.072552246,0.020639874,0.056103202,0.027996193,0.011692718,0.010846969,0.008192698,0.004399097,0.03812923,0.039376745,0.039005177,0.042361933,0.005425247,0.005459397,0.011529823,0.013042095,0.007156817,0.007329815,0.011863475,0.070197174,0.006772631,0.059930754,0.008978192,0.007386071,0.025637312,0.010814971,0.068416454,0.014641994,0.016520138,0.031526136,0.019265156,0.017997557,0.016820867,0.055665207,0.01799208,0.014677246,0.006016235,0.018546953,0.085680462,0.057425998,0.051674712,0.039511797,0.057323786,0.098084432,0.114457819,0.050379147,0.015025235,0.004588168,0.017779248,0.087345839,0.006151861,0.008988235,0.090790354,0.058804154,0.091199933,0.027910795,0.012543871,0.095080993,0.00405975,0.091098122,0.003358696,0.008127607,0.043331828,0.058827818,0.061483753,0.075471446,0.036625296,0.041158791,0.08757193,0.0670625
C25,12.5335,2500,0.18614976,0.196415461,0.186631311,0.174090353,0.156616677,0.136611594,0.072748373,0.239687023,0.054584958,0.178344497,0.062588356,0,0.093468966,0.088452648,0.119294524,0.079439152,0.076283901,0.055147646,0.04649133,0.09265501,0.087855302,0.069129452,0.091698751,0.057555996,0.14004953,0.10470395,0.041445048,0.063425243,0.040841366,0.045519689,0.066054555,0.056540174,0.064265639,0.034028633,0.040218138,0.037519283,0.057249309,0.232672444,0.069231994,0.051293619,0.060326474,0.07424496,0.082028204,0.038659759,0.048060687,0.064937464,0.156897354,0.157808142,0.203108389,0.095288804,0.139717974,0.091901399,0.062267363,0.033901007,0.029046684,0.035769729,0.129960235,0.268097952,0.203609186,0.118169019,0.045376762,0.036578977,0.056606486,0.102288298,0.077648764,0.054961828,0.076576208,0.224828724,0.053400588,0.176222694,0.062021209,0.078384946,0.104553287,0.063918474,0.212675679,0.076072208,0.056796959,0.061370284,0.061558384,0.064329077,0.08096866,0.150675651,0.198633614,0.048076942,0.050375768,0.039031063,0.155450762,0.132554187,0.138207544,0.085362326,0.1226748,0.318148508,0.222666764,0.110488304,0.092863148,0.041388171,0.055091207,0.186624466,0.041954314,0.03105269,0.207745926,0.214693679,0.140262896,0.072205407,0.042001047,0.201982326,0.036856869,0.173947676,0.03704698,0.070533217,0.22434393,0.221533521,0.130602661,0.234486021,0.087122612,0.085388499,0.248092988,0.185405427
13-;11-MeC25,12.8158,2533.8,0.002555878,0.001661563,0.001728752,0.001559099,0.001847816,0.001711195,0.00164711,0.000893902,0.001111006,0.001286453,0.003415061,0.002032268,0.00149196,0.004029924,0.003198485,0,0.003453453,0.004300248,0.00342842,0.002146039,0.00221025,0.003069113,0.002769047,0.004681378,0.004111094,0.004061104,0.003595826,0.003288622,0.005732498,0.002596491,0.003417914,0.003794902,0.002138295,0.004181082,0.003865764,0.002895386,0.0047506,0.003013845,0.003794091,0.003464409,0.004194804,0.004064333,0.004119178,0.00339189,0.003116106,0.004396232,0.003424621,0.004739332,0.002591568,0.003123014,0.002452982,0.003331277,0.00209218,0.005899221,0.005319488,0.003070603,0.004469302,0.002036814,0.002052597,0.002428452,0.004228449,0.00394315,0.003709135,0.002239794,0.003838959,0.003012445,0.003992967,0.001445734,0.003483668,0.002362268,0.003279429,0.003764205,0.003139862,0.002495302,0.001599591,0.003482451,0.002055696,0.003303949,0.002180555,0.002872248,0.001311624,0.001271607,0.001419724,0.002800978,0.002565971,0.003598396,0.001864276,0.002185365,0.001889194,0.003410687,0.0026479,0,0.000531114,0.001118402,0.002411388,0.002964817,0.002065683,0.001435755,0.00110138,0.002048483,0.00293092,0.001371647,0.002190887,0.002134225,0.002540256,0.001982647,0.003002919,0.001686347,0.001984935,0.002173346,0.001999287,0.001662583,0.002407346,0.001596749,0.00280927,0.002864778,0.0015532,0.002568707
C26,13.3692,2600,0.006473548,0.012420884,0.010069811,0.007325529,0.009934286,0.00521009,0.004077122,0.007281308,0.004192366,0.008388312,0.003871267,0.013301614,0.006590379,0.007433431,0.008579204,0.00800675,0.003189235,0.003565425,0.003211499,0.004630675,0.003161711,0.003583693,0.005328575,0.003758206,0.010000669,0.007747233,0.002287596,0.006860071,0.001836387,0.002955332,0.002408742,0.002506839,0.004446858,0.003155282,0.004006434,0.002708766,0.004436904,0.005788772,0.006714452,0.003406099,0.005143555,0.002783154,0.005203709,0.004100119,0.005100224,0.005638625,0.006469078,0.010590989,0.004609374,0.003060052,0.006844991,0.004790735,0.002443631,0.001899056,0.001783101,0.002387969,0.009808899,0.009169116,0.007572906,0.004958225,0.00410087,0.003037008,0.002793537,0.008572691,0.00653264,0.00487548,0.005126225,0.006902976,0.003107358,0.005969984,0.004128951,0.005016094,0.006698927,0.005083043,0.006427881,0.007525279,0.002280097,0.001538908,0.002265485,0.001444669,0.005832387,0.005114053,0.009719055,0.002902276,0.002844861,0.002984677,0.006904871,0.01005959,0.008858623,0.003781425,0.006152827,0.00880708,0.00695527,0.007367671,0.011126362,0.00231104,0.003233042,0.012477736,0.004727901,0.001371937,0.004069839,0.010256884,0.006887904,0.003931542,0.0030505,0.011139529,0.002928547,0.00526689,0.001936042,0.005657053,0.033893598,0.012691444,0.004150382,0.015541009,0.003858822,0.003516928,0.003463724,0.010975117
C27ene,14.032,2678,0.066661258,0.060060266,0.039396454,0.029129224,0.046231504,0.022778158,0.00874894,0.017318616,0.005025683,0.029829877,0.00971605,0.038785564,0.017152758,0.038136121,0.038014299,0.03816279,0.012792041,0.019807766,0.008622621,0.014505871,0.016985595,0.011052948,0.018330038,0.005392434,0.020476804,0.016685275,0.004278857,0.005561996,0.006016423,0.006225436,0.006545773,0.007615685,0.005147422,0.003375993,0.002950939,0.002277821,0.004718172,0.018809581,0.005414939,0.005204672,0.005708346,0.004610032,0.014911003,0.004476059,0.004227516,0.00382016,0.023370268,0.063233574,0.019200408,0.011351879,0.022663679,0.01650946,0.005376852,0.00943649,0.008071534,0.003150002,0.030671083,0.018451889,0.013190825,0.011928608,0.005709176,0.004842172,0.009741306,0.010325637,0.008449246,0.008329993,0.011032989,0.013899341,0.004860395,0.019164139,0.005981496,0.005820775,0.02420292,0.008647908,0.014408692,0.010662303,0.006526288,0.011638712,0.006761181,0.009760842,0.009291872,0.020459208,0.01580803,0.023236549,0.006384069,0.038375042,0.016686234,0.032930233,0.033637412,0.032239789,0.043000738,0.030471191,0.016091858,0.020145223,0.0129476,0.003240517,0.010175492,0.061015118,0.004535893,0.004349075,0.018945357,0.038257406,0.023957616,0.013135632,0.005864314,0.049101398,0.003584169,0.018391444,0.003780731,0.014169139,0.076790115,0.044663456,0.028978698,0.051654881,0.017752003,0.026073962,0.00626628,0.018187425
