ID,Chainlength,Type,Ret Time,Ret Index,T_1b,T_2b,T_3b,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108
C21,21,Alkane,31.505,2100,1.47,0.85,0.6,0.61,0.79,0.78,2.21,0.87,0.57,0.33,0.8,0.6,0.38,0.87,0.23,0,0.82,0,0.49,0.31,0,0.16,0.48,0.49,0.53,0.48,0.16,0.45,0.42,0.5,0.44,1.53,0.34,0.51,0.54,0.6,1.29,0.85,0.55,0.54,0.84,0.27,0.69,0.34,0.22,1.47,0.43,0.33,0.63,1.16,0.49,0.23,0.19,0.58,0.45,0.32,1.7,0.35,0.89,0.31,0.71,0.85,0.17,0.36,0.59,0.34,0.25,0.3,0.58,0.27,0.98,0.35,0.37,0.23,0.28,0.52,0.76,0.23,0.63,0.51,0.22,0.26,0.35,0.46,0.53,0.62,0.44,0.45,0.28,0.72,0.3,1.43,0.54,0.22,0.61,0.78,0.58,0.5,0.28,0.72,0.27,0.35,0.58,0.39,0.45,0.56,0.4,0.66
C22,22,Alkane,33.283,2200,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0,0.07,0.08,0,0.1,0.09,0.06,0.07,0,0,0,0,0,0.12,0,0.12,0.07,0.14,0,0,0,0.09,0.18,0,0.2,0.08,0.12,0,0.11,0.12,0,0,0,0,0,0.05,0.1,0,0.14,0,0.26,0,0,0.09,0.16,0,0.1,0.23,0,0.15,0.14,0,0.11,0.2,0.19,0,0,0.2,0,0.13,0,0,0.18,0,0.28,0.27,0,0.09,0.14,0.17,0.13,0.36,0.15,0.16,0.23,0.12
C23ene_1,23,Alkene,34.559,2273,0,0,0,0,0,0,0.1,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.12,0,0,0.18,0.21,0.22,0.1,0.17,0.17,0.09,0.33,0.17,0.11,0.87,0.1,0.54,0.1,0.74,0,0.21,0.1,0.14,3.25,0.16,0.07,0.41,0.07,0.06,0.26,3.37,0.09,0.56,0.4,2.25,0,0.95,0.3,0,0.21,0.36,1.71,0.11,0.1,1.18,0.11,0.93,0.4,3.49,0.06,0.4,0.64,3.17,0.1,2.36,4.15,0,0.92,2.97,0.45,1.13,4.31,4.91,1.82,0.13,3.83,1.22,1.05,0.42,0,2.93,0.27,6.9,2.28,0,0.26,2.81,1.38,1.39,5.41,2.26,2.86,0.65,1.32
C23ene_2,23,Alkene,34.667,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0.23,0,0.05,0,0.16,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.68,0,0,0,0.32,0,0.13,0.22,0,0,0.31,0,0,0,1.16,0,0,0.63,0,0,0,0,0.19,0,0.72,0.12,0,0,0.2,0.14,0.06,0.61,0.4,0.2,0.12,0.2
C23,23,Alkane,35.032,2300,23.78,19.28,20,14.33,19.57,8.02,16.73,18.94,11.71,14.06,13.41,12.75,13.81,14.87,5.67,7.84,17.98,6.36,7.87,6.28,4.24,3.37,6.54,5.21,6.13,4.95,3.29,10.26,7.36,7.66,4.09,7.22,3.7,6.56,7.59,6.09,5.79,6.16,8.09,7.63,7.23,2.88,6.23,4.9,6.43,6.39,4.99,11.29,5.17,6.27,4.07,2.45,4.26,5.95,11.74,3.14,5.29,8.99,12.78,3.85,7.46,7.2,3.79,3.69,6.17,13.07,2.91,4.54,7.03,3.76,9.64,9.58,20.32,2.36,14.85,9.9,14.69,3.09,6.82,17.23,4.84,12.07,17.9,12.05,8.76,11.27,20.97,6.87,5.23,22.74,8.67,6.78,5.51,2.97,22.62,6.02,16.38,17.89,2.76,5.87,16.34,13.42,4.8,15.78,7.42,9.96,14.48,9.69
C24ene,24,Alkene,36.215,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.15,0.29,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0.46,0.17,0,0,0,0.06,0.1,0.46,0.08,0.17,0.06,0.1
C24,24,Alkane,36.63,2400,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.08,0.07,0,0,0,0.11,0.07,0.29,0.24,0.1,0,0.19,0,0,0.07,0.06,0.74,0.05,0.1,0,0,0.07,0.16,0.99,0,0.25,0.32,0.38,0,0.3,0.22,0,0,0,0.42,0,0.12,0.34,0,0.28,0.37,1.14,0,0.78,0.72,0.6,0,0.19,0.81,0.08,0.68,0.73,0.25,0.36,0.44,0.87,0.3,0,0.94,0.26,0.21,0.3,0,0.95,0.12,0.9,1,0,0.11,0.74,0.75,0.29,1.28,0.3,0.56,1.3,0.36
C25ene_1,25,Alkene,37.835,2473,0,0,0,0,0,0,0.19,0,0,0,0,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.2,0.39,0.3,0.21,0.27,0.21,0.2,0.5,0.45,0.16,1.89,0.3,0.94,0.12,1.83,0,0,0.12,0.17,6.8,0.27,0.24,0.78,0.15,0.13,0.5,6.77,0.15,1.14,0.97,3.26,0.18,2.46,1.17,0,0.38,0.65,3.24,0.2,0.3,2.43,0.2,2.2,1.34,5.8,0.15,1.86,2.96,3.65,0.21,3.92,8.88,0.12,4.31,5.21,1.6,3.76,7.17,5.18,3.68,0.34,5.59,2.97,1.93,1.82,0.25,4.19,0.52,11.22,6.12,0,0.53,5.15,2.76,2.49,7.41,3.23,4.25,2.81,3.22
C25ene_2,25,Alkene,37.939,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,1.34,0,0.16,0.11,0.54,0,0.16,0.07,0,0,0,0.25,0,0,0.35,0,0,0,1.26,0,0,0,0.49,0,0.36,0.99,0,0,0.84,0,0,0,1.43,0,0,1.28,0.42,0,0,0,0.48,0,1.73,0.6,0,0,0.58,0.46,0,2.65,0.86,0.56,1.03,0.63
C25,25,Alkane,38.289,2500,11.04,7.79,9.16,7.03,7.03,5.67,11.47,6.8,5.11,7.25,5,5.7,6.26,5.94,3.32,4.55,6.24,3.4,8.03,4.64,5.99,4.71,3.44,3.08,5.37,5.48,5.7,5.56,4.03,8.46,3.34,4.56,5.6,3.71,3.59,3.55,5.48,3.69,16.31,12.02,10.02,2.92,13.68,4.91,3.45,4.03,4.57,20.26,2.7,3.49,5.99,2.46,5,7.35,20.92,3.4,4.84,13.29,20.21,4.16,11.45,7.15,3.65,6.06,6.68,20.93,4.37,5.62,11.47,2.82,13.4,21.85,21.73,3.45,29.25,22.54,17.65,6.61,8.06,19.95,3.34,24.73,24.01,14.75,14.74,13.63,23.13,13.27,5.71,27.57,11.42,8.68,13.26,5.46,28.91,7.58,17.45,19.81,2.76,5.07,23.37,18.68,6.95,18.16,7.92,13.68,19.18,13.69
13-;11-MeC25,25,Methyl,38.744,2532,0.67,1.28,1.32,0.55,0.73,0,0.3,0.78,0.57,0.59,0.71,1.46,1.08,1.42,0.41,0,1.77,0.58,0.93,0.65,0.38,0.28,0.61,0.56,0.47,0.62,0.48,0.56,0.84,1.34,0.71,0.48,0.31,0.52,0.53,1.31,0.33,0.39,0.43,0.3,0.76,0.37,0.43,0,0,0.31,0.58,0.4,0.45,0.44,0.26,0.31,0.47,0.6,0.27,0.34,0.55,0.57,0.43,0.35,0.46,0.24,0.17,0.23,0.4,0.33,0.45,0.34,0.17,0.15,0.74,0.31,0.18,0.28,0.22,0.36,0.34,0.24,0.44,0.35,0.26,0,0.24,0,0.42,0.49,0,0,0.31,0,0.18,0.4,0.48,0.2,0.18,0.31,0.27,0.15,0,0.14,0.27,0.25,0.38,0.21,0.24,0.09,0.43,0.3
C26,26,Alkane,39.733,2600,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.26,0.27,0,0.16,0.3,0.58,0.4,0.24,0.26,0.39,0.34,0.41,0.63,0.28,0.32,0.21,0.54,0.32,0.77,1.19,0.63,0.24,0.95,0,0,0.38,0.43,1.22,0.2,0.36,0.34,0.16,0.39,1.03,1.45,0.26,0.5,0.72,0.9,0.16,1.04,0.48,0.42,0.43,0.31,0.89,0.29,0.74,1.14,0.16,0.92,1.23,0.85,0.2,0.9,1.49,0.94,0.62,0.45,0.6,0.2,1.18,0.84,0.45,0.61,0.51,0.69,0.92,0.19,0.84,0.35,0.4,1.17,0.22,0.91,0.51,0.59,0.75,0,0.51,1.13,2.1,0.63,1.01,0.51,1.13,1.03,0.79
C27ene_1,27,Alkene,40.864,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.13,0.06,0.22,0,0,0,0.51,0.09,1.31,0.69,1.13,0.06,2.27,0,0,0.08,0.06,4.27,0.08,0.2,0.78,0.08,0,0.51,5.11,0,0,0.82,2.15,0,3.22,1.05,0,0.39,0.58,1.67,0.08,0.31,2.24,0.08,1.68,2.27,2.26,0.19,1.01,2.14,1.67,0.26,2.03,2.68,0,2.13,2.3,0.99,1.43,3.34,1.52,1.62,0,1.84,1.33,1.6,2.74,0,1.63,0.38,3.62,1.92,0,0.39,3.47,2.42,1.84,3.46,1.52,2.01,1.1,2.07
C27ene_2,27,Alkene,40.971,2681,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.16,0,0.49,0,0.61,0,0.35,0,0,0,0,1.68,0,0,0.3,0,0,0.16,2.08,0,0.17,0.2,0.7,0,0.38,0.15,0,0,0,0.4,0,0,0.64,0,0.2,0.92,0.67,0,0.25,0.42,0.38,0,0,0.45,0,0,0.57,0.38,0.34,0,0.62,0.43,0,0.63,0.46,0,0,0,0.34,0,0.85,0.37,0,0,0.66,0.92,0,0.88,0.59,0.6,0.54,0.7
