ID,RT,P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P4,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P5,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P6,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P7,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P8,P80,P9,W1,W10,W100,W101,W102,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W61,W62,W63,W64,W65,W66,W67,W68,W69,W7,W70,W71,W72,W73,W74,W75,W76,W77,W78,W79,W8,W80,W81,W82,W83,W84,W85,W86,W87,W88,W89,W9,W90,W91,W92,W93,W94,W95,W96,W97,W98,W99
C21,9.25,0.005099498,0.005641753,0.004812419,0.004812419,0,0.007005491,0.008905995,0,0,0.002023934,0.001965626,0.010035862,0.004381518,0.003637203,0.005814316,0.002204767,0.00353683,0.002298191,0.002039473,0,0.002042693,0.010237939,0.030102841,0.002568451,0.00474352,0.00241014,0.006402764,0.005640015,0.005072416,0.00242604,0.00219782,0.002598946,0.002034201,0.004282001,0.004458674,0.007123849,0.00646834,0.011847149,0.002832194,0.004446348,0.007968165,0.004942199,0.008597064,0.004825815,0.006117428,0.003320579,0.006693571,0.006561922,0.004887712,0.005702888,0.003658104,0.002333923,0.005378347,0,0.003725722,0.00458386,0.002835578,0.004916609,0.005433595,0,0,0,0.003446399,0.00443659,0.00407739,0.002229406,0.018087412,0,0.001887948,0.004736767,0.003515003,0,0.004998967,0.003454509,0.001686727,0.005256274,0.003431267,0.006758553,0.004793652,0.006292548,0.004199648,0.007218514,0.007558274,0.010978584,0.006684811,0.007217373,0.004084894,0.013339995,0.005013275,0.005399515,0.007345015,0.005120454,0.006284267,0.004975857,0.007817644,0.007886086,0.009001165,0.007619666,0.007127425,0.008131375,0.007152949,0.00764645,0.006602601,0.00819039,0.006644382,0.006225479,0.007798393,0.005937788,0.002815195,0.003121626,0.003945554,0.005410754,0.003478796,0,0.006413748,0.004863285,0.008443849,0.004490437,0.008419793,0.00657963,0.004445623,0.006270726,0.00570651,0.006859207,0.006064694,0.007037983,0.00642991,0.008707738,0.00626478,0.004830511,0.007472439,0.002976821,0.004758969,0.004142916,0.005199363,0.00612823,0.00437026,0.008747614,0.008327004,0.005290271,0.008236527,0.004266127,0.005530447,0.005169254,0.006273592,0.006658893,0.007339201,0.006329801,0.006175576,0.005987732,0.005388686,0.003853952,0.004794647,0.00400484,0.004999957,0.003588756,0.006581667,0.003942266,0.00551244,0.004588851,0.006017651,0.004802591,0.002773104,0.005076839,0.004842128,0.006240199,0.005669239,0.00599145,0.006262149,0.005530626,0.006363751,0.00700056,0.005955749,0.005082544,0.005711855,0.006638937,0.004670054,0.006162796,0.005914566,0.007132563,0.007374219,0.006130957
C22,10.01,0.006360409,0.006340334,0.008464398,0.008464398,0.004484226,0,0,0.004937542,0,0.005279201,0,0.009350135,0.006790965,0.00538365,0.005976659,0,0.006237536,0.006488363,0.005732037,0,0,0.010460014,0.009336072,0.005445604,0,0.008602189,0,0.010669172,0.009150433,0.005671556,0.005421864,0.006032689,0.006406789,0.002922186,0.008725591,0.010890151,0.008532411,0.010104056,0.005838186,0.00576418,0.006026542,0.007767167,0.007575338,0.005488012,0.009408662,0.004464081,0.007470794,0.005764192,0.006992614,0,0.006990528,0.003525062,0.007618557,0.004383739,0.004705758,0.005635311,0,0.006048902,0.010103382,0.004370335,0.003797142,0,0.004925739,0.003076094,0.003791413,0.004068453,0,0.004456747,0.00498852,0.00564378,0,0,0.011677477,0.004669135,0.004283876,0.01182372,0.00534954,0.008420934,0.007319483,0,0,0,0.006374063,0.008659093,0.007012717,0,0,0.006133094,0,0,0,0,0,0,0,0.00222851,0,0,0,0,0.002420613,0,0,0,0.001869125,0,0,0,0,0,0,0,0,0,0,0,0.002975501,0,0,0,0,0.001950035,0,0,0,0,0,0.003054376,0,0,0,0,0,0,0,0.002632824,0,0.001958264,0.002085829,0,0.006179246,0.006005042,0.005466066,0.005258065,0.005883911,0.005588264,0.005900916,0.007277552,0.004685423,0,0.007009321,0.004126252,0.006445902,0.005323592,0.004793165,0.005575779,0,0.005156647,0.00489103,0.005154629,0,0,0.006021451,0.008153618,0.007756271,0.006730506,0.008482125,0.010172543,0.007554329,0.006826923,0.005685425,0,0.007408116,0.007119197,0.007172962,0.00529817,0.006031144,0.00917255,0.004982586,0.006028515,0.005639142,0.005576466
C23ene,10.62,0.00680191,0.008798654,0.005233811,0.005233811,0.003304672,0.007824076,0.017226902,0,0,0,0,0.011349738,0,0,0,0,0,0,0,0,0,0.00659492,0.012817175,0,0.019530805,0,0.003950456,0.003227564,0.010622448,0,0,0,0,0.00536367,0,0,0.016312959,0.010807534,0.004174093,0.02275764,0.010045593,0.006605611,0.010969895,0.022392637,0.020506738,0.004891997,0.014934398,0.016678509,0.021923617,0.016645042,0.00682193,0.002384561,0.027494101,0.008198585,0.010283098,0.008052977,0.002802766,0.013829478,0.00334632,0,0,0,0,0,0,0,0.013410666,0,0,0,0,0,0,0,0,0,0,0.015813666,0,0.017731529,0.007296143,0.02369242,0.014541039,0.011862081,0.011269398,0.007789164,0.006139055,0.02356022,0.014255306,0.004116763,0.008669028,0.006196046,0.00830987,0.00844969,0.011815859,0.00957148,0.011170626,0.012800207,0.016533507,0.012513928,0.025795822,0.01193455,0.012289123,0.011098667,0.016417335,0.01363559,0.011998675,0.009113208,0.005237244,0.003299051,0.005812299,0.019210629,0.005830626,0.003072799,0.01016678,0.006386042,0.015002256,0.00672893,0.015859107,0.01791755,0.009601492,0.01742749,0.011995763,0.015362704,0.019102514,0.013043431,0.015777086,0.026604726,0.015593566,0.009578463,0.012521996,0.005747827,0.007231562,0.008687476,0.009904669,0.019812586,0.005922528,0.008340573,0.016593024,0.009341428,0.009465148,0.003620419,0.016867623,0.007245761,0.011713765,0.009623455,0.012503867,0.01021198,0.011818344,0.010718672,0.012446405,0.005293275,0.014709957,0.006870959,0.005498864,0.004307525,0.004188949,0.007503741,0.006341596,0.006130377,0.011971955,0.004162337,0.004323847,0.009588069,0.010668245,0.006806223,0.003774348,0.006519916,0.006327987,0.009884139,0.010635178,0.012596803,0.011453596,0.008280281,0.008356389,0.008592839,0.006997949,0.00858455,0.010006001,0.01030759,0.011036991,0.00933418
C23,10.8,0.121214417,0.100070809,0.121939511,0.121939511,0.08789809,0.100600011,0.115454598,0.066774651,0.057502513,0.064258224,0.055892717,0.196521099,0.087055186,0.063708838,0.089930147,0.052085909,0.082766119,0.074090601,0.072299472,0.048127491,0.064967088,0.176505314,0.131455786,0.080333196,0.224412216,0.097051549,0.151534493,0.134277584,0.189530127,0.085871765,0.077247013,0.085651418,0.09709446,0.082105006,0.133540105,0.164741714,0.192707848,0.182710574,0.100977992,0.163306684,0.116366014,0.116315494,0.162844765,0.250680752,0.185588137,0.121062656,0.201697763,0.18668018,0.344660079,0.296838367,0.154131996,0.066357626,0.21802339,0.173715279,0.136269777,0.101392522,0.083216809,0.137838817,0.172254419,0.063813317,0.061207494,0.063083406,0.0842154,0.057982847,0.059248401,0.078171727,0.094675078,0.075239193,0.073329528,0.142629889,0.03442531,0.070186127,0.164619987,0.056489115,0.056227728,0.174652206,0.080645469,0.138050633,0.100807458,0.152750309,0.071838996,0.118334453,0.1114931,0.082993431,0.114108926,0.101478861,0.068091851,0.120769466,0.118370994,0.071109339,0.078700337,0.072837324,0.092311555,0.083473333,0.106553357,0.092535241,0.074836485,0.069183009,0.077634259,0.069500138,0.145786028,0.069989501,0.064275243,0.071990931,0.09461469,0.079559744,0.065416733,0.060839861,0.037248176,0.051311756,0.078324693,0.102275559,0.052547727,0.027971842,0.079901706,0.059984912,0.087085528,0.052872793,0.105137316,0.121820953,0.085992111,0.118988859,0.107621973,0.107645595,0.1293032,0.117590679,0.112860935,0.106026703,0.122908942,0.064760331,0.072367772,0.049705752,0.052493869,0.070173193,0.061298097,0.108451726,0.062813888,0.113118404,0.093536754,0.053387461,0.102716493,0.092465885,0.12704257,0.090753073,0.123878347,0.12807459,0.118153135,0.14570202,0.10321689,0.079704132,0.132783366,0.073925938,0.152119335,0.08971715,0.075752019,0.100074956,0.086448033,0.083380147,0.087745562,0.095391152,0.082655353,0.082930759,0.105056209,0.165653043,0.157309404,0.108539708,0.140621039,0.158617019,0.143800938,0.152731214,0.140195789,0.079079656,0.175814636,0.148786521,0.132184027,0.123652746,0.109917141,0.173157777,0.14145273,0.148433522,0.099110137,0.107622354
C24,11.62,0.015543074,0.012958832,0.016817667,0.016817667,0.01283345,0.011781213,0.016294595,0.00972521,0.007836089,0.010238248,0.008208772,0.026599785,0.012422856,0.010016776,0.011295158,0.00788546,0.013002791,0.01086234,0.011034281,0.006028714,0.010993858,0.024990549,0.013861941,0.012493271,0.020247191,0.016657626,0.022517924,0.024572752,0.018870181,0.012265514,0.012665577,0.014306394,0.014826939,0.008183365,0.02230714,0.023597661,0.025892784,0.02114949,0.012887905,0.015849944,0.012255095,0.015724103,0.017000339,0.014216822,0.018292066,0.012582254,0.017121777,0.013351317,0.020062096,0.024208474,0.01940761,0.008245111,0.016787543,0.013558687,0.013082481,0.015007086,0.01055473,0.014101497,0.021869639,0.009460906,0.007336025,0.008716905,0.011131724,0.005925984,0.006127918,0.008947005,0.011530131,0.008998107,0.010974267,0.015854899,0.003114975,0.010346554,0.024551605,0.008726436,0.008327953,0.025055989,0.01064994,0.018853543,0.014696247,0.016027663,0.002647504,0.004329442,0.012991508,0.010717091,0.015423833,0.002900517,0,0.004739114,0.005393821,0.002765566,0.002730015,0.002285014,0.003168155,0.005155866,0.002873014,0.003695139,0.002811944,0.004524046,0.008340035,0.00333757,0.006280915,0.003520824,0.003927778,0.00320307,0.006069791,0.00339628,0.005872945,0.00241157,0,0.002334854,0.00412906,0.004458314,0,0,0,0.002121124,0.004716694,0.001857417,0.004205016,0.00499268,0.003428339,0.00697361,0.004767076,0.004260849,0.005437494,0.004879936,0.005629739,0.005294033,0.006998527,0.002987336,0.002508716,0.00260889,0.002330938,0.004130062,0.002634641,0.006674257,0.003239454,0.005903862,0.00392226,0.002086779,0.013183438,0.012802764,0.012843432,0.00931959,0.011931894,0.012826159,0.013112592,0.016082787,0.010624654,0.003114561,0.015334925,0.007958154,0.017609972,0.010693455,0.009114563,0.012471402,0.010928149,0.010434819,0.009782371,0.011261164,0.002929284,0.008105569,0.014626705,0.019462374,0.01700277,0.014535472,0.017730704,0.019994702,0.016680439,0.016376497,0.015141618,0.003671194,0.017495652,0.016525672,0.015014013,0.012043567,0.013816409,0.02242359,0.013332691,0.014524027,0.013474248,0.012808503
C25ene,12.27,0.012884394,0.011990883,0.01061071,0.01061071,0.007694941,0.01359188,0.027794808,0,0,0,0,0.027200491,0,0,0,0,0,0,0,0,0,0.028886974,0.022192788,0.002699183,0.027035481,0.003423397,0.008842089,0.006444348,0.013056545,0.002397298,0.002633175,0.002870017,0.002886239,0.013734544,0.005932639,0.003491885,0.029449994,0.011880314,0.010965812,0.036177906,0.021562582,0.017323983,0.028494087,0.040984779,0.024761107,0.013661259,0.036155714,0.027504523,0.057153816,0.036717638,0.020658593,0.004808425,0.03364405,0.012798143,0.016931517,0.023778731,0.006611092,0.019780441,0.008180281,0,0,0,0,0,0,0,0.022107736,0,0,0.007249989,0,0,0,0,0,0,0,0.025559809,0,0.030637367,0.017399497,0.033436418,0.022061487,0.02151094,0.020516624,0.013545023,0.009508811,0.032416746,0.017173858,0.00708587,0.014965811,0.0113365,0.013908693,0.024337015,0.018010316,0.019486159,0.020649939,0.030256977,0.043205236,0.023720364,0.038961274,0.024101119,0.025005227,0.020104486,0.03439207,0.019902804,0.031722658,0.014591626,0.008042458,0.007826132,0.013864724,0.02331009,0.009454354,0.004905819,0.014193267,0.010004946,0.022499767,0.010327536,0.025766639,0.02892179,0.016665497,0.033244262,0.023948733,0.02433128,0.031176723,0.032841209,0.027694414,0.032924392,0.031317589,0.020708688,0.018402697,0.014816515,0.015166185,0.019167508,0.012402174,0.036239866,0.014173105,0.019436578,0.024467328,0.012498088,0.014886926,0.006472024,0.018195292,0.012581945,0.020617936,0.016549004,0.022328295,0.018642758,0.018059523,0.020056277,0.020281033,0.010780723,0.035003067,0.014426638,0.010585692,0.01146846,0.012626269,0.011874004,0.013323218,0.014570883,0.020664431,0.010325055,0.013328323,0.015425137,0.021076129,0.015066269,0.007541523,0.010283911,0.013730098,0.020123103,0.026571254,0.021159302,0.020781665,0.01692862,0.018930457,0.01603249,0.017663298,0.016458831,0.026995922,0.020265951,0.019507601,0.016952939
C25,12.47,0.118912614,0.084000343,0.089731811,0.089731811,0.18846646,0.096309738,0.128335231,0.024823985,0.041814888,0.044259164,0,0.128455084,0.011411863,0.039540673,0.025404712,0.055811239,0.033295839,0.021184793,0.029842121,0.03260455,0.026022071,0.168142508,0.081322794,0.066270363,0.173517089,0.04299999,0.045699203,0.061333163,0.13023973,0.038594339,0.040963706,0.05524799,0.047381022,0.122710801,0.061863422,0.057287221,0.239703243,0.113132772,0.085752416,0.172933866,0.096325889,0.111610985,0.153262508,0.23624207,0.165310828,0.126447108,0.219600185,0.1739805,0.301309194,0.235994301,0.237765201,0.068458267,0.191784578,0.247961023,0.268051098,0.149499526,0.105983287,0.130129505,0.082541771,0.035952995,0.032519171,0.030037038,0.05938195,0.023704647,0.020558227,0.050523332,0.137067871,0.02024105,0.042544097,0.246392153,0,0.027191515,0.010414992,0.043535863,0.049326448,0.016958234,0.036756378,0.10080151,0.065919742,0.163493489,0.129320834,0.171073932,0.122588337,0.094990446,0.108146061,0.122267529,0.103072097,0.122601713,0.148759121,0.09111745,0.105488601,0.098446565,0.144539808,0.181493583,0.163675207,0.131315973,0.130459978,0.142935975,0.168556299,0.123106214,0.175000192,0.130169525,0.148269665,0.113706234,0.158568302,0.132751197,0.136696969,0.115616581,0.106780582,0.107435093,0.150085421,0.164443208,0.125529016,0.08864288,0.133196262,0.105968552,0.142366858,0.091920187,0.173162468,0.209460788,0.18535709,0.192546431,0.190791398,0.182255106,0.215910327,0.207178771,0.201753697,0.142626986,0.21281824,0.107892083,0.100222735,0.112929016,0.095545784,0.134689624,0.103705711,0.147553776,0.096219976,0.164326536,0.141973124,0.096040817,0.100775265,0.070010594,0.131222175,0.126945291,0.136252043,0.128886186,0.127713787,0.128465549,0.137635552,0.134751621,0.119875238,0.076161113,0.174194537,0.082354346,0.082714733,0.092536788,0.139659292,0.077692349,0.092304385,0.100637875,0.140941024,0.087372168,0.141543231,0.122976727,0.143988058,0.108536903,0.070688349,0.101350439,0.149229146,0.183754212,0.186974083,0.122984088,0.188169068,0.191029599,0.166904651,0.14367631,0.147160405,0.143947947,0.197745632,0.168674491,0.09349359,0.101398811
13-;11-MeC25,12.76,0.002319015,0,0,0,0,0.002778559,0.004093392,0.003686667,0.0044435,0.003678238,0.0045301,0,0.007592951,0.005005134,0.00368763,0.003638106,0.002707996,0.004316374,0.003825748,0.003588915,0.003077591,0.005189145,0,0.002481667,0.002881517,0.003019652,0.009202168,0.006231165,0.002994556,0.003119603,0.00314762,0.004531992,0.003604412,0.002942539,0,0,0,0.005859276,0.00319549,0.004123928,0.003237517,0,0.002560416,0,0,0,0.002549168,0,0,0,0,0.003313699,0,0,0,0.00248862,0,0.003399064,0,0.001982429,0,0,0,0,0,0.002350813,0.003116113,0,0.002005123,0,0,0,0.00352268,0.002447462,0.003277248,0.003590181,0.001943738,0,0.002611496,0.00228008,0.001662349,0.002470672,0,0,0,0,0,0.004885011,0,0,0,0,0,0,0,0,0,0,0,0.001808769,0,0,0,0,0.001917128,0.002730294,0,0.002515377,0,0.002067875,0,0,0,0,0,0.002134588,0.003701261,0.002086564,0.003569183,0.002650017,0,0,0,0.00245137,0,0.002381609,0.00219309,0.002558526,0,0.003469158,0.004980449,0.004044538,0.003149555,0.002793203,0.002887366,0.002833477,0.002691988,0.004399407,0.003119561,0.002635795,0.002948731,0,0,0,0.002398679,0,0.002504761,0,0,0.002405383,0,0.002881251,0.002585415,0.003844408,0.003126934,0.002935095,0,0.003254085,0.004308159,0.003539697,0.002685129,0.0027477,0,0,0,0,0,0,0,0,0,0.002566354,0,0,0.001945584,0,0,0,0,0,0,0.002589567
C26,13.31,0.017053491,0.0116476,0.01504162,0.01504162,0.022924508,0.012267098,0.022303025,0.008624501,0.008662816,0.010440617,0.011539514,0.020597589,0.008294351,0.010507465,0.008901456,0.010500705,0.010930106,0.009551464,0.00949242,0.007786276,0.010009608,0.021509889,0.012965866,0.013804951,0.016428062,0.015362199,0.015722016,0.019490438,0.018305619,0.011920143,0.012261302,0.013700685,0.013014783,0.012068897,0.020271395,0.020634718,0.02051256,0.017457975,0.012320915,0.014982001,0.015902743,0.020987995,0.018677459,0.01084796,0.019226151,0.013511032,0.017518486,0.013001178,0.010243426,0.016005564,0.019739054,0.009522093,0.016541977,0.017889963,0.018358332,0.018596793,0.012837029,0.014862242,0.017998132,0.009245278,0.006709235,0.007568326,0.01255366,0.005310467,0.005435714,0.008897341,0.018295463,0.007386004,0.010641914,0.018774478,0.010135696,0.008052366,0.014009173,0.008967539,0.010886005,0.016652629,0.011696158,0.016485755,0.01593847,0.01810435,0.005948146,0.006942765,0.014808631,0.014168377,0.015442727,0.00492823,0.005810944,0.006909378,0.013449676,0.008426299,0.006436369,0.004629529,0.008178914,0.013095681,0.006600211,0.009359291,0.006250938,0.010476442,0.0153424,0.00722563,0.007315335,0.008811191,0.011778121,0.006536663,0.011284459,0.008266932,0.015200841,0.006569888,0.007829882,0.006646039,0.011289262,0.00889567,0.008196705,0.006359226,0.006549538,0.006272508,0.010192364,0.005168384,0.008916558,0.008151476,0.008388002,0.01073676,0.009988451,0.008159904,0.009430045,0.008743715,0.010758545,0.008097796,0.01127569,0.007293969,0.005401175,0.008472863,0.007422328,0.01042991,0.007297949,0.010544435,0.011128446,0.011027021,0.007198855,0.005187539,0.014141127,0.010845867,0.014085391,0.014010085,0.011850012,0.01155775,0.013499786,0.014204756,0.015698167,0.00724315,0.012802405,0.009016684,0.014056983,0.011798698,0.013852788,0.011577184,0.020324282,0.011079996,0.012585214,0.012522359,0.005923138,0.010837672,0.016731631,0.016751855,0.014517184,0.016396612,0.014293128,0.019022905,0.018234545,0.015602214,0.016789379,0.008572957,0.015456692,0.0186207,0.01562024,0.013493388,0.015606128,0.018291936,0.015454813,0.015370599,0.01129303,0.01366543
C27ene_1,13.97,0.014911135,0.014246025,0.014287302,0.014287302,0.020727733,0.017831214,0.031550995,0,0.002241629,0,0,0.027279169,0,0.00294872,0.002211116,0,0.003614601,0,0,0,0,0.049795932,0.040926133,0.007911963,0.019057663,0.004838412,0.008221804,0.009316516,0.013378535,0.004127256,0.003941107,0.004578327,0.005079564,0.019541926,0.013614571,0.006609804,0.017133783,0.014159581,0.010756605,0.025245415,0.016721154,0.015124551,0.023373794,0.023002909,0.029742599,0.012112629,0.031074484,0.017727515,0.016965412,0.020967935,0.01104511,0.007246549,0.026007815,0.014972084,0.01852545,0.026672765,0.009864368,0.020389337,0.013515414,0,0,0,0.003785256,0,0,0.002406472,0.03435704,0,0,0.016686506,0,0,0,0.004125642,0.002439804,0,0.003398694,0.026126437,0.002423641,0.028042944,0.008896226,0.022954958,0.022601529,0.02505819,0.017247064,0.011053165,0.007862464,0.019147809,0.013622424,0.007332199,0.013779855,0.010083328,0.014898621,0.033426095,0.010726532,0.016465314,0.01823816,0.034849087,0.041807639,0.023685914,0.0243596,0.025455047,0.034232732,0.018099472,0.034601407,0.013513043,0.042204213,0.011950974,0.008505261,0.008330007,0.014928219,0.013302983,0.010183812,0.005623275,0.013297699,0.009312414,0.016405676,0.009159513,0.018594501,0.019853097,0.013574569,0.020468157,0.018824473,0.019171304,0.021210972,0.031126978,0.019925056,0.021878122,0.019653282,0.017507002,0.012553659,0.014517368,0.013822033,0.016769744,0.01160948,0.027349883,0.0155665,0.014684175,0.016928547,0.010560826,0.014459546,0.007311702,0.013938235,0.013036622,0.014249179,0.013535816,0.020569095,0.014032496,0.01160604,0.0138177,0.012796079,0.010333963,0.021365565,0.014360021,0.010876512,0.012593867,0.025853597,0.010536423,0.010378069,0.012941542,0.014782351,0.010959341,0.02321318,0.014333657,0.018720043,0.024204959,0.008234822,0.01099121,0.01732285,0.014766997,0.016224,0.016633116,0.014597656,0.015120608,0.018776985,0.020324601,0.018333304,0.014029499,0.023230065,0.019163565,0.017836695,0.015943583
