Sample	Sample_ID	Treatment	Region	Batch	NandF
01	H1B1_6	MD	OL	1	nurse
02	H1B1_6	MD	MB	1	nurse
03	H1B1_6	MD	AL	1	nurse
04	H1B3_5	CL_Bifi	OL	1	nurse
05	H1B3_5	CL_Bifi	MB	1	nurse
06	H1B3_5	CL_Bifi	AL	1	nurse
07	H1B5_3	CL_13	OL	1	nurse
08	H1B5_3	CL_13	MB	1	nurse
09	H1B5_3	CL_13	AL	1	nurse
10	H1B6_4	CL	OL	1	forager
11	H1B6_4	CL	MB	1	forager
12	H1B6_4	CL	AL	1	forager
13	H2B1_4	CL_Bifi	OL	2	nurse
14	H2B1_4	CL_Bifi	MB	2	nurse
15	H2B1_4	CL_Bifi	AL	2	nurse
16	H2B3_3	CL	OL	2	nurse
17	H2B3_3	CL	MB	2	nurse
18	H2B3_3	CL	AL	2	nurse
19	H2B4_3	CL_13	OL	2	nurse
20	H2B4_3	CL_13	MB	2	nurse
21	H2B4_3	CL_13	AL	2	nurse
22	H2B5_1	MD	OL	2	forager
23	H2B5_1	MD	MB	2	forager
24	H2B5_1	MD	AL	2	forager
25	H3B1_3	CL	OL	3	forager
26	H3B1_3	CL	MB	3	forager
27	H3B1_3	CL	AL	3	forager
28	H3B3_4	CL_Bifi	OL	3	forager
29	H3B3_4	CL_Bifi	MB	3	forager
30	H3B3_4	CL_Bifi	AL	3	forager
31	H3B5_2	CL_13	OL	11	nurse
32	H3B5_2	CL_13	MB	11	nurse
33	H3B5_2	CL_13	AL	11	nurse
34	H3B6_2	MD	OL	3	forager
35	H3B6_2	MD	MB	3	forager
36	H3B6_2	MD	AL	3	forager
37	H4B3_4	CL_13	OL	4	nurse
38	H4B3_4	CL_13	MB	4	nurse
39	H4B3_4	CL_13	AL	4	nurse
40	H4B4_7	MD	OL	4	nurse
41	H4B4_7	MD	MB	4	nurse
42	H4B4_7	MD	AL	4	nurse
43	H4B5_2	CL_Bifi	OL	11	forager
44	H4B5_2	CL_Bifi	MB	11	forager
45	H4B5_2	CL_Bifi	AL	11	forager
46	H4B6_2	CL	OL	11	forager
47	H4B6_2	CL	MB	11	forager
48	H4B6_2	CL	AL	11	forager
49	H5B1_3	CL_13	OL	5	forager
50	H5B1_3	CL_13	MB	5	forager
51	H5B1_3	CL_13	AL	5	forager
52	H5B2_3	CL_Bifi	OL	5	forager
53	H5B2_3	CL_Bifi	MB	5	forager
54	H5B2_3	CL_Bifi	AL	5	forager
55	H5B4_4	CL	OL	5	nurse
56	H5B4_4	CL	MB	5	nurse
57	H5B4_4	CL	AL	5	nurse
58	H5B5_6	MD	OL	5	forager
59	H5B5_6	MD	MB	5	forager
60	H5B5_6	MD	AL	5	forager
61	H6B2_5	CL_13	OL	6	forager
62	H6B2_5	CL_13	MB	6	forager
63	H6B2_5	CL_13	AL	6	forager
64	H6B4_3	CL	OL	6	forager
65	H6B4_3	CL	MB	6	forager
66	H6B4_3	CL	AL	6	forager
67	H6B5_4	CL_Bifi	OL	6	nurse
68	H6B5_4	CL_Bifi	MB	6	nurse
69	H6B5_4	CL_Bifi	AL	6	nurse
70	H6B6_2	MD	OL	6	nurse
71	H6B6_2	MD	MB	6	nurse
72	H6B6_2	MD	AL	6	nurse
73	H7B1_3	CL_13	OL	7	forager
74	H7B1_3	CL_13	MB	7	forager
75	H7B1_3	CL_13	AL	7	forager
76	H7B2_3	CL	OL	7	nurse
77	H7B2_3	CL	MB	7	nurse
78	H7B2_3	CL	AL	7	nurse
79	H7B3_4	MD	OL	7	forager
80	H7B3_4	MD	MB	7	forager
81	H7B3_4	MD	AL	7	forager
83	H7B4_9	CL_Bifi	MB	7	nurse
84	H7B4_9	CL_Bifi	AL	7	nurse
85	H8B5_3	MD	OL	11	nurse
86	H8B5_3	MD	MB	11	nurse
87	H8B5_3	MD	AL	11	nurse
88	H8B1_3	CL_Bifi	OL	8	nurse
89	H8B1_3	CL_Bifi	MB	8	nurse
90	H8B1_3	CL_Bifi	AL	8	nurse
91	H8B2_3	CL	OL	8	nurse
92	H8B2_3	CL	MB	8	nurse
93	H8B2_3	CL	AL	8	nurse
94	H8B3_3	CL_13	OL	8	forager
95	H8B3_3	CL_13	MB	8	forager
96	H8B3_3	CL_13	AL	8	forager
97	H9B1_3	CL_13	OL	9	forager
98	H9B1_3	CL_13	MB	9	forager
99	H9B1_3	CL_13	AL	9	forager
100	H9B3_5	CL	OL	9	forager
101	H9B3_5	CL	MB	9	forager
102	H9B3_5	CL	AL	9	forager
103	H9B4_7	CL_Bifi	OL	9	forager
104	H9B4_7	CL_Bifi	MB	9	forager
105	H9B4_7	CL_Bifi	AL	9	forager
109	H10B1_6	CL	OL	10	forager
110	H10B1_6	CL	MB	10	forager
111	H10B1_6	CL	AL	10	forager
112	H10B2_4	MD	OL	10	nurse
113	H10B2_4	MD	MB	10	nurse
114	H10B2_4	MD	AL	10	nurse
115	H10B5_5	CL_Bifi	OL	10	nurse
116	H10B5_5	CL_Bifi	MB	10	nurse
117	H10B5_5	CL_Bifi	AL	10	nurse
118	H10B6_3	CL_13	OL	10	nurse
119	H10B6_3	CL_13	MB	10	nurse
120	H10B6_3	CL_13	AL	10	nurse
