Sample_ID	Experiment	Hive	Box	HiveBox	UniqueBox	Treatment	Day0	Day2	Day4	Day6	Day8	Day10
W51	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0933	0.1224	0.136	0.112	0.1249	0.094
W52	Bee Bread exp	H1	B1	H1B1	B1	MD	0.109	0.1159	0.1219	0.1325	0.1485	0.1239
W53	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1018	0.1334	0.1562	0.1693	0.1737	0.1728
W54	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1073	0.1094	0.1181	0.1335	0.1367	0.1391
W55	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0938	0.1357	0.1127	0.1089	0.1103	0.1123
W56	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1019	0.1168	0.1122	0.1382	0.1408	0.144
W57	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0974	0.1316	0.1306	0.1293	0.1359	0.1458
W58	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1021	0.1146	0.1422	0.1424	0.1452	0.1483
W59	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1553	0.1265	0.1402	0.1211	0.1318	0.1428
W60	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1072	0.1243	0.1444	0.1486	0.1625	0.1598
W71	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1028	0.1315	0.1525	0.1466	0.1498	0.1405
W72	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0963	0.0991	0.1082	0.1273	0.1125	0.1074
W73	Bee Bread exp	H1	B1	H1B1	B1	MD	0.097	0.1204	0.1378	0.1378	0.1652	0.142
W74	Bee Bread exp	H1	B1	H1B1	B1	MD	0.123	0.145	0.1423	0.1505	0.1195	0.1516
W75	Bee Bread exp	H1	B1	H1B1	B1	MD	0.098	0.1102	0.1328	0.1339	0.1466	0.1467
W76	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1331	0.1347	0.1515	0.1585	0.1559	0.1501
W77	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0959	0.11	0.1308	0.1389	0.1435	0.138
W78	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0959	0.1254	0.1348	0.1445	0.1502	0.1543
W79	Bee Bread exp	H1	B1	H1B1	B1	MD	0.1061	0.1392	0.1404	0.1553	0.1458	0.1558
W80	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0897	0.1226	0.0992	0.0992	0.1063	0.1012
W81	Bee Bread exp	H1	B1	H1B1	B1	MD	0.0951	0.1236	0.1245	0.095	0.1303	0.0987
W100	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1016	0.1166	0.1309	0.1399	0.1096	0.1059
W101	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0866	0.1065	0.1196	0.1097	0.1054	0.1284
W102	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1039	0.1153	0.1362	0.1072	0.1454	0.103
W21	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0966	0.1094	0.1368	0.1568	0.1386	0.1324
W22	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1201	0.1237	0.1394	0.1548	0.1456	0.1315
W23	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0872	0.1019	0.1198	0.1256	0.1257	0.1159
W24	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1312	0.1487	0.1516	0.1496	0.1587	0.1438
W25	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1048	0.1161	0.1287	0.1196	0.1274	0.1283
W26	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0934	0.1206	0.1167	0.0908	0.1239	0.125
W27	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1144	0.1387	0.1404	0.1143	0.13	0.1186
W28	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0933	0.1056	0.1373	0.1271	0.1156	0.1072
W29	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1027	0.1191	0.1353	0.124	0.1336	0.1235
W30	Bee Bread exp	H1	B2	H1B2	B2	CL	0.0968	0.1217	0.1318	0.1443	0.1396	0.1255
W98	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1018	0.1235	0.1557	0.1117	0.149	0.1199
W99	Bee Bread exp	H1	B2	H1B2	B2	CL	0.1447	0.1188	0.1072	0.1064	0.1133	0.112
W1	Bee Bread exp	H2	B1	H2B1	B3	CL	0.1042	0.1198	0.1298	0.14	0.1049	0.1508
W10	Bee Bread exp	H2	B1	H2B1	B3	CL	0.0998	0.1106	0.1222	0.0911	0.1055	0.116
W2	Bee Bread exp	H2	B1	H2B1	B3	CL	0.0787	0.0924	0.1308	0.1368	0.148	0.1368
W3	Bee Bread exp	H2	B1	H2B1	B3	CL	0.0929	0.1104	0.1019	0.1076	0.1538	0.1012
