Sample_ID	Experiment	Hive	Box	HiveBox	UniqueBox	Treatment	NandF	Day2	Day4	Day6	Day8	Day10
W51	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.311897106	0.457663451	0.200428725	0.33869239	0.00750268
W52	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.063302752	0.118348624	0.21559633	0.362385321	0.136697248
W53	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.310412574	0.534381139	0.663064833	0.706286837	0.697445972
W54	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.019571295	0.100652377	0.24417521	0.273998136	0.296365331
W55	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.446695096	0.201492537	0.16098081	0.175906183	0.197228145
W56	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.146221786	0.10107949	0.3562316	0.381746811	0.413150147
W57	Bee Bread exp	H1	B1	H1B1	B1	MD	forager	0.351129363	0.340862423	0.3275154	0.395277207	0.496919918
W58	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.122428991	0.392752204	0.394711068	0.422135162	0.452497551
W59	Bee Bread exp	H1	B1	H1B1	B1	MD	forager	-0.185447521	-0.097231165	-0.220218931	-0.151320026	-0.080489375
W60	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.159514925	0.347014925	0.38619403	0.515858209	0.490671642
W71	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.279182879	0.483463035	0.426070039	0.457198444	0.366731518
W72	Bee Bread exp	H1	B1	H1B1	B1	MD	forager	0.029075805	0.12357217	0.321910696	0.168224299	0.115264798
W73	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.241237113	0.420618557	0.420618557	0.703092784	0.463917526
W74	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.178861789	0.156910569	0.223577236	-0.028455285	0.232520325
W75	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.124489796	0.355102041	0.366326531	0.495918367	0.496938776
W76	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.012021037	0.138241923	0.190833959	0.171299775	0.127723516
W77	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.147028154	0.363920751	0.448383733	0.496350365	0.438998957
W78	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.307612096	0.405630865	0.506777894	0.566214807	0.608967675
W79	Bee Bread exp	H1	B1	H1B1	B1	MD	forager	0.31196984	0.323279925	0.463713478	0.374175306	0.468426013
W80	Bee Bread exp	H1	B1	H1B1	B1	MD	nurse	0.366778149	0.105908584	0.105908584	0.185061315	0.128205128
