Bee_ID,Hive,Treatment,Box,Bee_weight_g,Gut_tube,Tube_with_gut,Gut_weight_mg,Bee_weight_mg
H1B1_1,H1,MD,B1,0.108,1.927,1.952,25,108
H1B1_2,H1,MD,B1,0.137,1.828,1.864,36,137
H1B1_3,H1,MD,B1,0.111,1.75,1.785,35,111
H1B1_4,H1,MD,B1,0.13,1.882,1.907,25,130
H1B1_5,H1,MD,B1,0.109,1.937,1.967,30,109
H1B1_6,H1,MD,B1,0.136,1.744,1.793,49,136
H1B1_7,H1,MD,B1,0.124,1.933,1.981,48,124
H1B1_8,H1,MD,B1,0.16,2.029,2.091,62,160
H1B1_9,H1,MD,B1,0.133,1.779,1.829,50,133
H1B1_10,H1,MD,B1,0.115,1.869,1.909,40,115
H1B2_1,H1,MD,B2,0.141,1.851,1.914,63,141
H1B2_2,H1,MD,B2,0.133,1.894,1.954,60,133
H1B2_3,H1,MD,B2,0.149,1.901,1.968,67,149
H1B2_4,H1,MD,B2,0.132,1.812,1.866,54,132
H1B2_5,H1,MD,B2,0.126,1.795,1.851,56,126
H1B2_6,H1,MD,B2,0.137,1.773,1.83,57,137
H1B2_7,H1,MD,B2,0.129,1.824,1.864,40,129
H1B2_8,H1,MD,B2,0.133,1.902,1.955,53,133
H1B2_9,H1,MD,B2,0.116,1.797,1.836,39,116
H1B2_10,H1,MD,B2,0.124,1.918,1.96,42,124
H1B3_1,H1,CL_Bifi,B3,0.13,1.806,1.862,56,130
H1B3_2,H1,CL_Bifi,B3,0.133,1.809,1.861,52,133
H1B3_3,H1,CL_Bifi,B3,0.115,1.857,1.897,40,115
H1B3_4,H1,CL_Bifi,B3,0.157,2.013,2.097,84,157
H1B3_5,H1,CL_Bifi,B3,0.142,1.793,1.855,62,142
H1B3_6,H1,CL_Bifi,B3,0.102,1.832,1.854,22,102
H1B3_7,H1,CL_Bifi,B3,0.141,2.004,2.075,71,141
H1B3_8,H1,CL_Bifi,B3,0.13,1.849,1.903,54,130
H1B3_9,H1,CL_Bifi,B3,0.133,1.775,1.826,51,133
H1B3_10,H1,CL_Bifi,B3,0.108,1.91,1.933,23,108
H1B4_1,H1,MD,B4,0.125,1.853,1.904,51,125
H1B4_2,H1,MD,B4,0.136,1.845,1.904,59,136
H1B4_3,H1,MD,B4,0.135,1.869,1.917,48,135
H1B4_4,H1,MD,B4,0.141,1.896,1.941,45,141
H1B4_5,H1,MD,B4,0.154,1.768,1.84,72,154
H1B4_6,H1,MD,B4,0.156,1.763,1.825,62,156
H1B4_7,H1,MD,B4,0.133,1.886,1.935,49,133
H1B4_8,H1,MD,B4,0.096,1.845,1.857,12,96
H1B4_9,H1,MD,B4,0.127,1.858,1.909,51,127
H1B4_10,H1,MD,B4,0.112,1.95,1.985,35,112
H1B5_1,H1,CL_13,B5,0.126,1.92,1.97,50,126
H1B5_2,H1,CL_13,B5,0.105,1.903,1.931,28,105
H1B5_3,H1,CL_13,B5,0.12,1.888,1.927,39,120
H1B5_4,H1,CL_13,B5,0.138,1.881,1.937,56,138
H1B5_5,H1,CL_13,B5,0.153,1.757,1.82,63,153
H1B5_6,H1,CL_13,B5,0.115,1.839,1.88,41,115
H1B5_7,H1,CL_13,B5,0.125,1.782,1.834,52,125
H1B5_8,H1,CL_13,B5,0.143,1.874,1.934,60,143
H1B5_9,H1,CL_13,B5,0.129,1.787,1.842,55,129
H1B5_10,H1,CL_13,B5,0.136,1.862,1.92,58,136
H1B6_1,H1,CL,B6,0.095,1.816,1.84,24,95
H1B6_2,H1,CL,B6,0.122,1.791,1.831,40,122
H1B6_3,H1,CL,B6,0.121,1.83,1.863,33,121
H1B6_4,H1,CL,B6,0.134,1.8,1.844,44,134
H1B6_5,H1,CL,B6,0.098,1.768,1.796,28,98
H1B6_6,H1,CL,B6,0.103,1.892,1.927,35,103
H1B6_7,H1,CL,B6,0.121,1.848,1.893,45,121
H1B6_8,H1,CL,B6,0.112,1.87,1.908,38,112
H1B6_9,H1,CL,B6,0.107,1.862,1.892,30,107
H1B6_10,H1,CL,B6,0.146,1.849,1.904,55,146
H2B1_1,H2,CL_Bifi,B1,0.136,1.944,1.987,43,136
H2B1_2,H2,CL_Bifi,B1,0.14,1.786,1.84,54,140
H2B1_3,H2,CL_Bifi,B1,0.14,1.857,1.918,61,140
H2B1_4,H2,CL_Bifi,B1,0.155,1.886,1.941,55,155
H2B1_5,H2,CL_Bifi,B1,0.135,1.805,1.858,53,135
H2B1_6,H2,CL_Bifi,B1,0.136,1.875,1.933,58,136
H2B1_7,H2,CL_Bifi,B1,0.147,1.815,1.868,53,147
H2B1_8,H2,CL_Bifi,B1,0.143,1.824,1.889,65,143
H2B1_9,H2,CL_Bifi,B1,0.139,1.774,1.824,50,139
H2B1_10,H2,CL_Bifi,B1,0.109,1.857,1.881,24,109
H2B2_1,H2,MD,B2,0.119,1.836,1.881,45,119
H2B2_2,H2,MD,B2,0.104,1.847,1.881,34,104
H2B2_3,H2,MD,B2,0.143,1.945,1.999,54,143
H2B2_4,H2,MD,B2,0.125,1.817,1.866,49,125
H2B2_5,H2,MD,B2,0.112,1.855,1.888,33,112
H2B2_6,H2,MD,B2,0.139,1.959,2.019,60,139
H2B2_7,H2,MD,B2,0.101,1.948,1.984,36,101
H2B2_8,H2,MD,B2,0.117,1.951,1.999,48,117
H2B2_9,H2,MD,B2,0.131,1.864,1.919,55,131
H2B2_10,H2,MD,B2,0.13,1.728,1.787,59,130
H2B3_1,H2,CL,B3,0.107,1.727,1.751,24,107
H2B3_2,H2,CL,B3,0.121,1.791,1.829,38,121
H2B3_3,H2,CL,B3,0.133,1.808,1.863,55,133
H2B3_4,H2,CL,B3,0.092,1.811,1.835,24,92
H2B3_5,H2,CL,B3,0.137,1.873,1.935,62,137
H2B3_6,H2,CL,B3,0.137,1.8,1.858,58,137
H2B3_7,H2,CL,B3,0.135,1.901,1.959,58,135
H2B3_8,H2,CL,B3,0.14,1.887,1.949,62,140
H2B3_9,H2,CL,B3,0.127,1.903,1.959,56,127
H2B3_10,H2,CL,B3,0.141,1.997,2.058,61,141
H2B4_1,H2,CL_13,B4,0.104,1.844,1.871,27,104
H2B4_2,H2,CL_13,B4,0.142,2.012,2.073,61,142
H2B4_3,H2,CL_13,B4,0.126,1.766,1.818,52,126
H2B4_4,H2,CL_13,B4,0.129,1.914,1.964,50,129
H2B4_5,H2,CL_13,B4,0.133,1.778,1.831,53,133
H2B4_6,H2,CL_13,B4,0.114,1.913,1.957,44,114
H2B4_7,H2,CL_13,B4,0.146,1.82,1.888,68,146
H2B4_8,H2,CL_13,B4,0.131,1.863,1.916,53,131
H2B4_9,H2,CL_13,B4,0.126,1.795,1.845,50,126
H2B4_10,H2,CL_13,B4,0.096,1.754,1.779,25,96
H2B5_1,H2,MD,B5,0.14,1.862,1.921,59,140
H2B5_2,H2,MD,B5,0.103,1.776,1.819,43,103
H2B5_3,H2,MD,B5,0.139,1.795,1.859,64,139
H2B5_4,H2,MD,B5,0.11,1.915,1.961,46,110
H2B5_5,H2,MD,B5,0.109,1.853,1.894,41,109
H2B5_6,H2,MD,B5,0.104,1.765,1.804,39,104
H2B5_7,H2,MD,B5,0.135,1.726,1.791,65,135
H2B5_8,H2,MD,B5,0.096,1.822,1.86,38,96
H2B5_9,H2,MD,B5,0.133,1.783,1.842,59,133
H2B5_10,H2,MD,B5,0.1,1.834,1.864,30,100
H2B6_1,H2,MD,B6,0.138,1.859,1.92,61,138
H2B6_2,H2,MD,B6,0.118,1.791,1.834,43,118
H2B6_3,H2,MD,B6,0.115,1.934,1.974,40,115
H2B6_4,H2,MD,B6,0.125,1.826,1.878,52,125
H2B6_5,H2,MD,B6,0.091,1.782,1.807,25,91
H2B6_6,H2,MD,B6,0.116,1.763,1.815,52,116
H2B6_7,H2,MD,B6,0.131,1.967,2.022,55,131
H2B6_8,H2,MD,B6,0.111,1.877,1.927,50,111
H2B6_9,H2,MD,B6,0.13,2.013,2.063,50,130
H2B6_10,H2,MD,B6,0.112,1.824,1.867,43,112
H3B1_1,H3,CL,B1,0.158,1.944,2.009,65,158
H3B1_2,H3,CL,B1,0.156,2.053,2.112,59,156
H3B1_3,H3,CL,B1,0.144,1.929,1.985,56,144
H3B1_4,H3,CL,B1,0.143,1.914,1.977,63,143
H3B1_5,H3,CL,B1,0.151,1.95,2.005,55,151
H3B1_6,H3,CL,B1,0.126,1.873,1.923,50,126
H3B1_7,H3,CL,B1,0.144,1.868,1.924,56,144
H3B1_8,H3,CL,B1,0.126,1.847,1.898,51,126
H3B1_9,H3,CL,B1,0.151,1.92,1.975,55,151
H3B1_10,H3,CL,B1,0.148,1.846,1.909,63,148
H3B2_1,H3,MD,B2,0.15,1.92,1.986,66,150
H3B2_2,H3,MD,B2,0.141,1.862,1.906,44,141
H3B2_3,H3,MD,B2,0.135,1.852,1.909,57,135
H3B2_4,H3,MD,B2,0.129,1.984,2.035,51,129
H3B2_5,H3,MD,B2,0.131,1.826,1.877,51,131
H3B2_6,H3,MD,B2,0.145,1.885,1.95,65,145
H3B2_7,H3,MD,B2,0.143,1.842,1.903,61,143
H3B2_8,H3,MD,B2,0.157,1.827,1.904,77,157
H3B2_9,H3,MD,B2,0.15,1.839,1.908,69,150
H3B2_10,H3,MD,B2,0.124,1.795,1.83,35,124
H3B3_1,H3,CL_Bifi,B3,0.153,2.043,2.107,64,153
H3B3_2,H3,CL_Bifi,B3,0.138,1.927,1.967,40,138
H3B3_3,H3,CL_Bifi,B3,0.107,1.766,1.794,28,107
H3B3_4,H3,CL_Bifi,B3,0.133,1.868,1.918,50,133
H3B3_5,H3,CL_Bifi,B3,0.115,1.806,1.846,40,115
H3B3_6,H3,CL_Bifi,B3,0.143,1.846,1.904,58,143
H3B3_7,H3,CL_Bifi,B3,0.148,1.874,1.914,40,148
H3B3_8,H3,CL_Bifi,B3,0.136,1.759,1.813,54,136
H3B3_9,H3,CL_Bifi,B3,0.121,1.826,1.853,27,121
H3B3_10,H3,CL_Bifi,B3,0.099,1.851,1.886,35,99
H3B4_1,H3,MD,B4,0.145,1.901,1.962,61,145
H3B4_2,H3,MD,B4,0.144,1.857,1.908,51,144
H3B4_3,H3,MD,B4,0.145,1.924,1.988,64,145
H3B4_4,H3,MD,B4,0.144,1.881,1.936,55,144
H3B4_5,H3,MD,B4,0.137,1.884,1.931,47,137
H3B4_6,H3,MD,B4,0.164,1.924,1.992,68,164
